Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
35650000,0.16596788,0.9,2553,18,15,42.37,0,21.962519,25.620558,93.333336,13.835101,25.490196,54
28179998,0.16671355,1,2792,19,15,3.46,0,22.57758,1.8222514,7.8431373,1.1297959,27.058823,62
27999998,0.16740836,1,2496,19,15,3.01,0,23.118856,1.755102,6.6666665,0.98285717,28.235294,56
21899998,0.16811791,1,2375,19,15,2.82,0,23.636992,1.7373892,8.627451,0.9208163,28.235294,53
22019998,0.16860856,1.1,2054,19,15,2.27,0,23.98045,1.5770735,6.27451,0.7412245,27.450981,47
29969998,0.17428847,1.1,1863,19,15,24.15,0,24.247976,19.233452,64.31373,7.885715,20.392157,41
29859998,0.17510214,1.1,2181,19,15,3.22,0,24.642612,2.1904762,9.411765,1.0514286,22.352942,48
31129998,0.1759364,1.2,862,19,15,3.07,0,24.877079,2.6380234,34.117645,1.0024489,25.882353,38
35460000,0.18056631,1.2,911,19,15,21.62,0,24.783329,39.219955,47.843136,7.0595922,22.745098,18
35420000,0.19134367,1.2,2212,18,15,39.15,0,24.82155,47.34694,85.882355,12.783674,19.215687,27
34490000,0.19779164,1.3,3019,19,15,27.03,0,25.206533,17.306124,7.0588236,8.826123,22.352942,51
35270000,0.20104247,1.3,2929,18,15,10.75,0,25.899134,5.5717525,100,3.510204,25.882353,63
35570000,0.20914799,1.4,2313,18,15,34.45,0,26.532297,15.843635,81.960785,11.2489805,27.058823,71
33279998,0.21098605,1.4,2552,18,15,8.08,0,27.235462,3.3397055,89.411766,2.6383674,28.62745,79
30519998,0.21185149,1.5,2403,19,15,2.59,0,28.158094,1.127619,7.0588236,0.8457143,29.411764,75
29179998,0.21258326,1.5,913,19,15,2.45,0,28.46067,1.7391304,32.941177,0.8,28.235294,46
34290000,0.21617983,1.5,1648,19,15,16.57,0,28.345465,28.476906,60,5.410612,22.352942,19
34080000,0.21920091,1.6,2175,19,15,14.24,0,28.364937,15.49932,48.235294,4.649796,18.431372,30
28589998,0.21975827,1.6,2132,19,15,2.34,0,28.42533,2.3153987,6.6666665,0.7640816,19.215687,33
35590000,0.2283779,1.6,2412,18,15,38.82,0,28.492249,37.282116,79.21568,12.67592,15.686275,34
31669998,0.2295291,1.7,3945,18,15,4.43,0,28.845778,2.6787603,99.21568,1.4465306,18.431372,54
31119998,0.24660574,1.7,4218,18,15,71.64,0,29.274864,37.1312,49.80392,23.392654,21.568628,63
23779998,0.24838865,1.8,4918,19,15,7.31,0,29.843117,3.225593,10.196078,2.3869388,25.882353,74
33980000,0.26573694,1.8,3510,18,15,60.99,0,30.499361,26.55347,98.82353,19.915102,27.058823,75
27489998,0.26677126,1.9,3723,19,15,4.83,0,31.068996,1.9001724,7.8431373,1.577143,27.843138,83
35380000,0.26677126,2,3873,18,15,0,0,31.811178,0,95.29412,0,28.235294,83
33029998,0.28729945,2,4240,18,15,65.62,0,32.75245,23.039722,39.60784,21.42694,28.62745,93
25299998,0.2900075,2.1,4567,18,0,9.15,0,33.745796,2.9291718,10.588235,2.9877553,29.411764,102
34730000,0.30816457,2.2,0,18,15,57.54,0,34.789036,18.241333,100,18.788572,29.019608,103
0,0.30917484,2.3,3616,18,15,3.03,0,35.983078,0.89134026,97.254906,0.9893877,30.19608,111
28099998,0.3105422,2.4,3670,19,15,5.02,0,36.95605,1.4506052,15.686275,1.6391838,30.588236,113
31149998,0.31905964,2.5,3567,18,15,38.9,0,37.701294,11.443281,78.039215,12.702042,29.80392,111
32059998,0.33012483,2.6,3637,18,15,50.1,0,38.457146,14.477155,100,16.359184,30.19608,113
28169998,0.33135098,2.7,3712,18,15,4.74,0,39.3586,1.3342716,7.8431373,1.547755,31.764706,116
35340000,0.33618045,2.8,3708,18,15,23.16,0,40.051575,6.6337276,99.21568,7.5624495,30.980392,114
35480000,0.34925368,2.8,3733,18,15,57.15,0,40.817276,16.087261,28.62745,18.661224,30.19608,116
27449998,0.35043603,2.9,3838,18,15,5.14,0,41.612286,1.3986394,8.627451,1.6783674,29.411764,120
35300000,0.36087003,3,3869,18,15,43.23,0,42.418743,11.862117,74.5098,14.115919,29.411764,119
34630000,0.37406802,3.1,3138,18,15,52.53,0,43.261745,14.175746,93.72549,17.152653,29.80392,121
27499998,0.37493473,3.2,3171,18,15,4.02,0,43.999092,1.0585912,7.45098,1.3126531,30.588236,124
31779998,0.38682878,3.3,3204,0,15,55.4,0,44.709877,14.707151,100,18.089796,31.37255,123
34420000,0.40378946,3.4,3156,18,15,53.61,0,45.73542,14.2319565,66.27451,17.505306,31.37255,123
0,0.4200522,3.5,3298,18,15,61.72,0,46.611595,15.868873,100,20.15347,31.37255,127
30149998,0.42129228,3.6,3369,18,16,4.53,0,47.536213,1.1378337,86.666664,1.4791838,30.980392,130
28779998,0.42252716,3.7,3277,19,16,3.91,0,48.55282,0.9974491,7.8431373,1.2767348,32.54902,128
27729998,0.4234911,3.8,3200,19,16,3.2,0,49.45063,0.8426597,8.627451,1.044898,32.941177,124
27859998,0.42427886,3.9,3130,19,16,3.66,0,50.06922,0.97959185,7.45098,1.1951021,33.333332,122
34290000,0.43502003,4,3100,18,16,50.89,0,50.635513,13.847619,87.45098,16.617144,32.156864,120
30349998,0.4424435,4.1,3135,19,16,28.92,0,51.35006,7.677452,7.0588236,9.443266,30.19608,123
31779998,0.44337285,4.2,3210,19,16,4.57,0,51.913963,1.2034234,63.137257,1.492245,28.62745,124
29019998,0.4442431,4.3,2997,19,16,3.47,0,52.540573,0.96022135,7.8431373,1.1330612,26.666666,118
29039998,0.4448763,4.3,2789,19,16,3,0,52.98753,0.89870816,7.0588236,0.9795919,25.09804,109
28259998,0.44554704,4.4,2403,19,16,2.69,0,53.367672,0.93443334,6.6666665,0.87836736,26.27451,94
35700000,0.45611966,4.5,2392,18,16,41,0,53.73435,14.551908,100,13.387755,26.666666,92
30919998,0.45705095,4.5,2534,19,16,3.68,0,54.142853,1.2261558,9.019608,1.2016326,27.843138,98
29459998,0.45774114,4.6,2488,19,16,3.31,0,54.466305,1.1142435,9.803922,1.0808163,29.019608,97
23339998,0.45882627,4.7,2408,19,16,3.37,0,54.92159,1.1706469,9.019608,1.1004081,29.411764,94
23109998,0.45979553,4.8,2276,19,15,2.46,0,55.381596,0.91280144,7.0588236,0.8032653,27.843138,88
23189998,0.4603611,4.9,2156,19,15,2.26,0,55.631863,0.8785228,6.27451,0.73795915,26.27451,84
23259998,0.46069247,4.9,2125,20,15,1.41,0,55.846977,0.56147337,7.0588236,0.46040815,25.09804,82
25069998,0.4611481,5,898,20,15,2.19,0,56.034126,0.8720758,23.529411,0.71510214,24.705883,82
33950000,0.46983275,5,2993,19,15,37.89,0,56.22189,15.465306,75.68627,12.372245,23.137255,80
35610000,0.4800618,5.1,2815,18,15,48.61,0,56.434635,18.456573,100,15.872654,24.313726,86
35180000,0.4944778,5.2,3100,18,15,55.65,0,56.7708,19.127823,100,18.17143,26.27451,95
35530000,0.5124344,5.3,3500,18,15,67.59,0,57.21496,20.626358,100,22.070204,27.450981,107
35770000,0.5270052,5.3,3771,18,15,70.55,0,57.617012,19.859257,100,23.036737,28.235294,116
35260000,0.54426855,5.4,4018,18,15,75.08,0,58.11843,19.770903,100,24.515919,29.019608,124
35260000,0.56364965,5.5,4237,18,15,81.03,0,58.686855,20.197536,100,26.458773,27.450981,131
35800000,0.5766034,5.6,3415,18,15,58.82,0,59.20916,14.550401,91.76471,19.20653,27.058823,132
34270000,0.58788526,5.7,3493,18,15,52.13,0,59.73631,12.608919,91.37255,17.022041,27.450981,135
35390000,0.60563624,5.8,0,18,15,51.76,0,60.589264,12.247264,0,16.901224,29.411764,138
33449998,0.62832606,6,3461,18,15,60.09,0,61.471806,14.534241,70.196075,19.621225,30.19608,135
30079998,0.62959373,6.1,3521,18,15,5.11,0,62.055576,1.2179353,13.333333,1.6685715,30.19608,137
21439998,0.6305199,6.2,3433,18,15,4.43,0,62.515068,1.0876169,4.3137255,1.4465306,30.980392,133
29109998,0.6385733,6.3,3315,18,15,33.76,0,62.995247,8.612245,54.901962,11.023673,31.764706,128
34360000,0.65096974,6.4,3367,18,15,50.6,0,63.49606,12.709577,91.37255,16.52245,31.764706,130
35720000,0.6632069,6.5,3461,17,15,51.85,0,64.000275,12.634785,75.29412,16.930613,30.980392,134
35390000,0.6707819,6.6,3532,17,15,36.71,0,64.45373,8.74959,56.862743,11.986938,30.980392,137
34740000,0.68291885,6.7,3591,17,15,54.93,0,64.94608,12.903832,91.37255,17.936327,30.980392,139
28799998,0.68427974,6.8,3644,18,15,4.73,0,65.60357,1.0876689,10.196078,1.5444897,30.980392,142
24769998,0.6855229,6.9,3568,18,15,5.81,0,66.06587,1.364851,5.882353,1.8971429,30.588236,139
32439998,0.6891422,7,3491,18,15,14.15,0,66.581635,3.4225245,94.117645,4.620408,29.411764,135
35560000,0.70578444,7.1,3500,17,15,64.88,0,67.091,15.692818,100,21.185305,29.019608,135
35470000,0.72653985,7.2,3459,18,15,59.84,0,67.768,14.473772,69.803925,19.539593,29.019608,135
34840000,0.74117076,7.4,3570,18,15,47.29,0,68.404305,11.029738,9.019608,15.441633,29.019608,140
33660000,0.7482517,7.4,3585,18,15,34.15,0,68.82464,7.9650154,9.411765,11.151021,28.235294,140
34720000,0.75677365,7.6,3567,18,16,31.72,0,69.34688,7.5054717,54.117645,10.357551,27.450981,138
30929998,0.75780797,7.6,3572,18,16,4.89,0,69.75253,1.1570541,45.882355,1.5967346,26.666666,138
31879998,0.77039033,7.8,3451,18,16,49.81,0,70.20971,12.0477705,47.058823,16.26449,26.27451,135
35370000,0.7790971,7.8,3481,18,16,37.12,0,70.628365,8.978382,63.92157,12.120816,25.490196,135
35580000,0.7931919,8,3526,18,16,49.87,0,71.13378,11.97359,82.35294,16.284082,22.352942,136
28839998,0.7942091,8.1,3466,18,16,4.83,0,71.51096,1.1511992,7.0588236,1.577143,21.960785,137
28979998,0.7952652,8.2,3237,19,16,3.99,0,71.92873,1.0021979,7.8431373,1.3028572,23.137255,130
35410000,0.80934215,8.3,2983,18,16,52.15,0,72.2405,14.807453,95.68627,17.028572,24.313726,115
34810000,0.8241609,8.4,3162,18,16,55.76,0,72.592415,14.924053,100,18.207346,25.09804,122
35480000,0.83986056,8.5,3314,18,16,62.6,0,72.959625,15.969388,100,20.440817,25.882353,128
32839998,0.8410892,8.6,3416,18,16,4.94,0,73.35161,1.212828,26.666666,1.6130613,26.666666,133
35480000,0.8511288,8.6,3433,18,16,43.22,0,73.71383,10.611018,63.137257,14.112654,27.450981,133
35260000,0.85901713,8.8,3452,18,16,30.84,0,74.11986,7.4594107,18.039215,10.070205,28.62745,135
34840000,0.8659166,8.8,3455,18,16,32.15,0,74.45121,7.834298,56.862743,10.49796,29.411764,134
31699998,0.8668701,8.9,3472,18,16,4.43,0,74.785286,1.0715041,54.509804,1.4465306,29.80392,135
34750000,0.87302995,9,3435,18,16,28.74,0,75.103615,7.0560074,51.372547,9.38449,30.588236,133
27089998,0.87414,9.1,3380,18,16,4.72,0,75.448814,1.1588154,6.6666665,1.5412245,29.019608,133
30189998,0.8802861,9.2,3354,18,16,26.73,0,75.77087,6.66272,10.980392,8.728164,27.843138,131
35300000,0.88831633,9.3,3360,18,16,35.8,0,76.07563,8.99215,64.31373,11.6897955,29.019608,130
34750000,0.8918567,9.4,3443,18,16,13.98,0,76.43464,3.432254,45.882355,4.564898,30.19608,133
35470000,0.90184015,9.5,3491,18,16,39.17,0,76.80416,9.474224,68.23529,12.790203,30.980392,135
35020000,0.90820384,9.6,3581,18,16,27.83,0,77.15413,6.53766,67.45098,9.087347,30.588236,139
26959998,0.9091,9.7,3571,18,16,3.63,0,77.52774,0.8527383,7.0588236,1.1853062,31.37255,139
35390000,0.9188195,9.8,3523,18,16,32.72,0,77.956604,7.7985992,55.294117,10.684081,32.156864,137
34750000,0.9266396,9.9,3551,18,16,33.25,0,78.2973,7.8674946,58.431374,10.857142,32.156864,138
31059998,0.92792964,10,3569,18,17,5.25,0,78.65543,1.2332993,43.137257,1.7142859,30.980392,139
30999998,0.93403274,10.1,3469,18,17,26.47,0,78.96567,6.4024186,8.235294,8.643266,28.235294,135
25549998,0.935125,10.2,3396,19,17,4.47,0,79.2731,1.1057513,7.8431373,1.4595917,28.235294,132
35540000,0.9442638,10.3,3334,19,17,31.31,0,79.62208,7.8643637,40.39216,10.223673,29.411764,130
29449998,0.9456365,10.5,3351,19,17,5.13,0,79.94427,1.2787038,8.235294,1.675102,29.80392,131
28459998,0.9477201,10.5,3280,19,17,10.08,0,80.1756,2.5714288,7.8431373,3.2914288,29.80392,128
34920000,0.9543138,10.6,3282,19,17,26.14,0,80.449196,6.720874,49.019608,8.53551,29.411764,127
0,0.97107697,10.7,3296,19,17,58.43,0,80.75701,15.022979,100,19.079184,29.80392,127
34560000,0.98932046,10.9,3492,19,17,55,0,81.167595,13.303098,100,17.959183,30.19608,135
34620000,0.9977341,11,3546,19,17,36.32,0,81.46153,8.656637,69.411766,11.859592,30.19608,137
34540000,1.0049841,11.1,3573,19,17,29.13,0,81.77962,6.8926353,49.80392,9.511837,29.80392,138
31069998,1.011846,11.2,3563,19,17,26.98,0,82.10121,6.3839097,55.686275,8.809795,30.588236,138
35350000,1.0176668,11.3,3534,19,17,23.69,0,82.40218,5.646358,41.17647,7.7355103,30.19608,137
34610000,1.0234122,11.4,3524,19,17,21.7,0,82.723274,5.172055,38.431374,7.085715,28.62745,137
33209998,1.0335628,11.5,3479,19,17,34.36,0,83.07104,8.2497,16.862745,11.219592,29.019608,136
34770000,1.0374725,11.6,3467,19,17,18.35,0,83.31374,4.438398,30.980392,5.991837,29.019608,135
35290000,1.0416806,11.7,3424,19,17,19.51,0,83.54802,4.789934,34.509804,6.3706126,29.019608,133
34930000,1.0532976,11.8,3353,19,17,33.74,0,83.902794,8.410033,15.294118,11.017143,29.411764,131
35100000,1.0589603,11.9,3351,19,17,23.72,0,84.13998,5.9579277,43.92157,7.745306,29.411764,130
35240000,1.0625563,12,3319,19,17,17.48,0,84.338486,4.4246163,35.686275,5.707755,29.80392,129
35230000,1.066182,12.1,3301,19,17,17.09,0,84.53656,4.359694,47.058823,5.580408,29.80392,128
35590000,1.0727948,12.2,3296,19,17,32.16,0,84.727,8.204082,60.784313,10.5012245,29.80392,128
34840000,1.0792508,12.3,3325,19,17,26.13,0,84.95894,6.6141434,52.156864,8.532245,29.80392,129
35210000,1.0915855,12.4,3386,19,17,58.19,0,85.16452,14.504438,100,19.000814,30.19608,131
34840000,1.1079538,12.5,3510,19,17,66.03,0,85.42896,15.85354,100,21.560816,30.19608,136
35690000,1.1208181,12.6,3652,19,18,62.48,0,85.66811,14.469243,100,20.401632,30.19608,141
35750000,1.1208181,12.7,3792,19,18,0,0,86.04578,0,77.254906,0,29.80392,146
33439998,1.1281263,12.8,3829,19,18,27.64,0,86.38949,6.057253,54.509804,9.025307,29.411764,149
24249998,1.1295788,12.9,3759,20,18,6.36,0,86.66918,1.4224211,42.35294,2.0767348,30.588236,146
21549998,1.1306167,13,3617,20,18,4.59,0,86.92061,1.0629615,7.8431373,1.4987756,31.37255,141
28299998,1.144398,13.1,3498,20,18,55.17,0,87.17021,13.246097,18.431372,18.014692,30.588236,136
35140000,1.1485381,13.2,3526,19,18,18.12,0,87.40096,4.3187847,31.37255,5.916735,29.411764,137
34990000,1.1532658,13.3,3503,19,18,18.94,0,87.64521,4.547419,45.882355,6.18449,29.019608,136
25979998,1.1542612,13.4,3413,20,18,4.67,0,87.843605,1.1379837,7.8431373,1.5248982,29.80392,134
35270000,1.1599039,13.5,3376,20,18,23.44,0,88.051186,5.8426547,42.35294,7.6538777,30.588236,131
35250000,1.1641505,13.6,3367,19,18,18.14,0,88.25117,4.5215764,27.843138,5.923265,30.588236,131
35110000,1.1705261,13.7,3330,20,18,23.16,0,88.47289,5.862364,38.039215,7.5624495,30.588236,129
35310000,1.1762223,13.8,3323,20,18,22.77,0,88.672295,5.763645,42.35294,7.435102,30.588236,129
34830000,1.1827686,13.9,3318,20,18,24.09,0,88.886765,6.09777,43.52941,7.866123,30.19608,129
34660000,1.1880519,14,3319,20,18,24.19,0,89.057655,6.123082,45.098038,7.8987756,29.80392,129
35240000,1.1930274,14.1,3320,20,18,23.85,0,89.21938,6.0370193,43.92157,7.787755,29.80392,129
34960000,1.1985028,14.2,3312,20,18,24.74,0,89.38945,6.2623005,44.313725,8.078367,30.19608,129
35230000,1.2141483,14.3,3359,19,18,59.81,0,89.59371,15.02292,100,19.529795,29.411764,130
34850000,1.2266245,14.4,3518,20,18,54.67,0,89.79638,13.126051,100,17.851429,0,136
29059998,1.2363217,14.5,3516,20,18,38.32,0,90.024055,9.133323,15.686275,12.512652,29.019608,137
34670000,1.2533895,14.6,3493,20,18,52.14,0,90.309006,12.518608,50.588234,17.025307,29.019608,136
27609998,1.2573594,14.6,3464,20,18,11.69,0,89.732506,12.518608,18.82353,3.817143,29.019608,0
35230000,1.2664346,14.7,3428,20,18,37.87,0,89.926895,9.29753,2.745098,12.365715,29.411764,133
29449998,1.267745,14.8,3391,20,18,5.05,0,90.1306,1.249227,9.411765,1.6489797,29.411764,132
24819998,1.2688162,14.9,3261,21,18,4.05,0,90.31606,1.0331633,7.8431373,1.3224491,30.19608,128
29189998,1.2697245,15,3222,20,18,4.35,0,90.45377,1.1273081,11.372549,1.4204082,30.588236,126
28039998,1.2706428,15.1,3125,21,18,4.04,0,90.585815,1.0812981,7.0588236,1.3191837,30.588236,122
34170000,1.2826492,15.2,2997,0,18,40.32,0,90.72969,11.2527485,58.039215,13.165715,30.588236,117
29569998,1.2837584,15.3,3024,21,18,3.87,0,90.87718,1.0619105,4.3137255,1.2636735,0,119
30399998,1.284509,15.4,2932,21,18,2.87,0,90.986725,0.8220551,7.45098,0.93714285,30.19608,114
30949998,1.2867295,15.5,2974,21,18,8.48,0,91.10009,2.4078083,100,2.7689795,29.80392,115
30379998,1.2918022,15.6,2891,21,18,16.3,0,91.22226,4.7101316,7.0588236,5.3224487,29.80392,113
26359998,1.2925968,15.7,2860,21,18,3.41,0,91.30464,1.0031255,5.882353,1.1134694,30.19608,111
20030000,1.293551,15.7,2764,21,18,3.6,0,91.38322,1.0884354,7.8431373,1.1755103,30.588236,108
20060000,1.2945117,15.8,2661,21,18,3.44,0,91.440605,1.0905489,7.8431373,1.1232654,31.764706,103
27719998,1.2963035,15.9,2664,21,17,6.6,0,91.49101,2.1128452,96.86275,2.155102,31.37255,102
24339998,1.3002408,16,2636,21,17,16.38,0,91.5353,5.243697,7.45098,5.3485713,30.588236,102
34480000,1.3115133,16.1,2705,20,17,35.95,0,91.60338,11.287285,90.98039,11.738776,30.19608,104
27249998,1.3122491,16.2,2730,21,17,3.46,0,91.656586,1.0658451,6.6666665,1.1297959,29.80392,106
20540000,1.3131152,16.2,2581,21,17,3.36,0,91.69374,1.0971429,7.45098,1.0971429,29.80392,100
22469998,1.3154435,16.3,2423,21,17,8.69,0,91.70438,3.018671,7.8431373,2.8375509,29.411764,94
34440000,1.3218814,16.4,2468,21,17,27.65,0,91.71753,9.50376,100,9.028572,28.62745,95
32429998,1.3280424,16.5,2478,21,17,26.89,0,91.73818,9.051967,16.862745,8.780408,28.62745,97
26619998,1.3290379,16.6,2410,21,17,2.96,0,91.751076,1.0282241,7.45098,0.9665307,29.411764,94
22199998,1.3295751,16.6,2179,22,17,2.61,0,91.7276,1.0026411,7.0588236,0.85224485,29.80392,85
21719998,1.330118,16.7,1331,22,17,2.38,0,91.65558,1.0645792,15.686275,0.7771429,28.235294,73
29459998,1.3329626,16.7,824,22,16,9.12,0,91.17649,1.0645792,27.058823,2.9779594,14.90196,0
34840000,1.3415328,16.7,3200,21,16,36.16,0,91.00958,24.096624,91.76471,11.807346,9.803922,49
34510000,1.3495828,16.7,1235,21,16,28.51,0,90.845314,16.623907,10.980392,9.309388,16.470589,56
29299998,1.3503202,16.8,2644,21,16,3.01,0,90.71618,1.6658597,7.8431373,0.98285717,21.960785,59
29299998,1.3508313,16.8,2375,21,16,2.1,0,90.56478,1.2938005,7.45098,0.68571424,26.27451,53
27169998,1.3513081,16.9,1453,22,15,2.32,0,90.40427,1.7617465,14.509804,0.757551,27.450981,43
29319998,1.3547497,16.9,840,22,15,14.95,0,90.176674,16.272108,62.35294,4.8816323,21.960785,30
35600000,1.362455,16.9,2389,0,15,30.05,0,89.937645,29.734074,97.254906,9.812244,21.960785,33
29889998,1.3631964,16.9,2327,21,15,2.39,0,89.74196,1.5302122,7.45098,0.7804082,23.529411,51
29889998,1.3639811,17,2281,21,15,2.81,0,89.56731,1.7991197,6.27451,0.91755104,26.27451,51
30669998,1.3643912,17,2289,21,15,1.75,0,89.42175,1.1204482,7.8431373,0.5714286,26.666666,51
26399998,1.3648736,17.1,949,22,15,2.23,0,89.247154,1.8670855,21.17647,0.7281633,26.666666,39
25069998,1.3653648,17.1,807,22,15,2.1,0,89.04835,1.9047617,27.450981,0.68571424,21.568628,36
27729998,1.3678087,17.1,787,22,15,9.78,0,88.84541,8.403867,27.450981,3.1934693,16.470589,38
29129998,1.3682841,17.1,3064,22,15,2.31,0,88.69587,1.7541529,5.882353,0.75428575,16.078432,43
32549998,1.3686516,17.2,3700,21,15,1.52,0,88.5329,1.0789707,52.54902,0.49632654,19.607843,46
26119998,1.3693669,17.2,2153,22,15,2.7,0,88.376144,1.7286915,7.0588236,0.8816326,24.313726,51
25079998,1.3700621,17.3,825,22,15,2.36,0,88.19491,1.572678,28.62745,0.77061224,27.843138,49
25789998,1.3707992,17.3,777,22,15,2.45,0,87.9877,1.8181819,32.156864,0.8,27.843138,44
31899998,1.3710531,17.3,3880,21,15,1.22,0,87.84543,0.9053803,49.80392,0.39836735,26.27451,44
26839998,1.3716669,17.4,1567,22,15,2.6,0,87.68907,1.8866214,12.156863,0.8489796,26.27451,45
