Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.117645,0.0,
0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.117645,0.0,
0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.117645,0.0,
0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,34.117645,0.0,
0.0023197208,0.0,130.0,22.0,14.0,9.64,0.0,0.0,0.0,52.941177,3.1477551,34.509804,0.0,
0.0056305523,0.0,1388.0,20.0,14.0,12.88,0.0,0.0,0.0,43.137257,4.205714,34.117645,0.0,
0.0076899626,0.0,1358.0,20.0,14.0,9.56,0.0,0.24200125,156.08163,41.17647,3.1216328,32.54902,2.0,
0.011226447,0.0,1412.0,18.0,14.0,13.15,0.0,0.60416025,143.12924,55.686275,4.2938776,29.411764,3.0,
0.01317643,0.0,1333.0,18.0,14.0,10.16,0.0,1.1518351,47.39359,34.117645,3.3175511,28.235294,7.0,
0.015266919,0.0,1482.0,18.0,14.0,10.69,0.0,1.0594037,47.39359,44.705883,3.4906123,26.666666,0.0,
0.017421382,0.0,1400.0,18.0,14.0,9.64,0.0,0.9704398,47.39359,42.35294,3.1477551,26.666666,0.0,
0.019415021,0.0,1401.0,18.0,14.0,9.83,0.0,0.90166944,47.39359,43.52941,3.209796,27.450981,0.0,
0.024068298,0.0,1785.0,19.0,14.0,19.2,0.0,0.8313035,47.39359,65.09804,6.269388,27.058823,0.0,
0.028458089,0.0,1887.0,18.0,14.0,21.84,0.0,1.571005,54.857147,70.98039,7.131429,24.705883,13.0,
0.033180617,0.0,1793.0,18.0,14.0,20.91,0.0,3.0055716,28.448978,53.72549,6.827755,24.705883,24.0,
0.03389325,0.1,2282.0,17.0,13.0,3.05,0.0,4.805023,3.112245,14.90196,0.9959184,25.882353,32.0,
0.035121985,0.1,1649.0,17.0,13.0,6.36,0.0,6.325787,5.7687073,31.37255,2.0767348,27.450981,36.0,
0.03694892,0.1,1692.0,17.0,0.0,8.06,0.0,7.986152,7.113073,20.392157,2.631837,29.411764,37.0,
0.037602466,0.1,1670.0,17.0,12.0,2.46,0.0,9.718269,2.1709874,8.235294,0.8032653,31.764706,37.0,
0.03843207,0.2,863.0,17.0,12.0,3.09,0.0,10.473741,4.3868675,33.72549,1.0089796,32.156864,23.0,
0.039958403,0.2,941.0,0.0,11.0,5.53,0.0,10.17125,36.11429,32.156864,1.8057144,29.80392,5.0,
0.043900847,0.2,1286.0,17.0,11.0,13.28,0.0,10.554033,25.507803,55.294117,4.3363266,26.666666,17.0,
0.04564622,0.2,1150.0,0.0,11.0,6.64,0.0,11.23796,8.672653,31.764706,2.1681633,25.882353,25.0,
0.046278957,0.2,903.0,17.0,11.0,2.44,0.0,11.851448,3.1869388,23.529411,0.7967347,25.882353,25.0,
0.050772566,0.2,1600.0,16.0,11.0,19.73,0.0,12.234087,29.28386,60.39216,6.442449,24.313726,22.0,
0.05412678,0.2,1659.0,16.0,10.0,15.37,0.0,12.92274,15.683675,43.92157,5.018776,25.09804,32.0,
0.057332717,0.3,1749.0,16.0,10.0,12.01,0.0,13.907282,10.599008,32.54902,3.9216328,27.058823,37.0,
0.0595062,0.3,1365.0,16.0,10.0,10.28,0.0,14.757577,8.187159,51.764706,3.3567348,28.62745,41.0,
0.06011355,0.3,1416.0,16.0,10.0,2.48,0.0,15.747494,1.8832464,12.941176,0.809796,30.19608,43.0,
0.060793776,0.4,1334.0,16.0,9.0,2.83,0.0,16.587934,2.2538576,12.941176,0.9240816,31.764706,41.0,
0.061386615,0.4,1021.0,16.0,9.0,3.04,0.0,17.124407,2.6828463,26.666666,0.9926531,32.156864,37.0,
0.061980564,0.4,920.0,17.0,9.0,2.37,0.0,17.577915,2.4963791,15.686275,0.7738775,32.156864,31.0,
0.063811235,0.4,1024.0,16.0,9.0,8.86,0.0,17.930283,9.332456,53.333332,2.8930612,31.37255,31.0,
0.06645611,0.5,1143.0,16.0,9.0,10.65,0.0,18.45198,9.935861,58.039215,3.4775512,31.37255,35.0,
0.06705257,0.5,1215.0,16.0,9.0,2.49,0.0,18.982534,2.1974628,25.882353,0.8130612,32.156864,37.0,
0.06770135,0.5,968.0,16.0,9.0,2.69,0.0,19.403381,2.5834334,24.705883,0.87836736,32.54902,34.0,
0.068282455,0.5,829.0,17.0,8.0,2.45,0.0,19.419415,4.0,29.411764,0.8,32.156864,20.0,
0.06889881,0.5,783.0,17.0,8.0,2.34,0.0,19.205261,6.3673463,30.19608,0.7640816,31.37255,12.0,
0.06889881,0.5,792.0,16.0,8.0,0.0,0.0,18.71772,0.0,73.72549,0.0,26.27451,2.0,
0.07607745,0.6,2024.0,15.0,8.0,21.46,0.0,18.796375,33.36832,67.05882,7.007347,21.960785,21.0,
0.07962412,0.6,2233.0,15.0,8.0,13.99,0.0,19.132324,14.275511,43.52941,4.5681634,25.09804,32.0,
0.080477476,0.6,2530.0,15.0,8.0,3.3,0.0,19.609947,2.8356605,9.019608,1.077551,27.843138,38.0,
0.08133344,0.6,888.0,16.0,8.0,2.57,0.0,19.811642,3.2276294,26.666666,0.8391837,28.235294,26.0,
0.08269326,0.7,1723.0,16.0,8.0,6.05,0.0,19.752998,11.620648,16.078432,1.9755102,25.490196,17.0,
0.08543517,0.7,1233.0,15.0,8.0,12.82,0.0,19.699446,24.624249,60.39216,4.1861224,24.313726,17.0,
