Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,77.254906,0.0,
0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,77.254906,0.0,
0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,77.254906,0.0,
0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,77.254906,0.0,
0.0018807818,0.0,355.0,23.0,16.0,7.66,0.0,0.0,0.0,40.0,2.5012245,77.254906,0.0,
0.004298487,0.0,1390.0,22.0,16.0,9.32,0.0,0.0,0.0,23.137255,3.0432653,77.254906,0.0,
0.0066917227,0.0,1298.0,20.0,16.0,9.42,0.0,0.2670162,153.79591,45.098038,3.0759182,76.07843,2.0,
0.010027511,0.0,1827.0,19.0,16.0,9.11,0.0,1.5148897,37.183674,41.568626,2.9746938,74.117645,8.0,
0.012278125,0.0,1385.0,19.0,16.0,9.61,0.0,1.3731158,37.183674,44.705883,3.137959,72.54902,0.0,
0.018114423,0.0,1435.0,19.0,16.0,18.49,0.0,1.2193301,37.183674,29.019608,6.037551,72.94118,0.0,
0.021317884,0.0,1628.0,19.0,16.0,14.94,0.0,1.5569773,81.30612,60.0,4.8783674,76.47059,6.0,
0.027324714,0.0,2556.0,19.0,16.0,20.24,0.0,3.4690194,28.734694,62.35294,6.6089797,78.82353,23.0,
0.027676975,0.1,2553.0,18.0,16.0,1.39,0.0,5.7686667,1.2607709,38.82353,0.45387757,76.86275,36.0,
0.02908201,0.1,1909.0,18.0,15.0,4.54,0.0,8.648805,3.5296407,18.039215,1.482449,77.254906,42.0,
