Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
35230000,0.10493482,1.5,2009,17,6,24.79,0,51.358242,13.269992,64.31373,8.094695,8.235294,61
35390000,0.10819648,1.5,2143,17,6,15.52,0,51.67455,7.6784167,65.09804,5.067755,12.156863,66
34520000,0.112953395,1.6,2269,16,6,23.72,0,52.043736,11.064723,70.196075,7.745306,13.725491,70
34660000,0.117363214,1.6,2410,15,6,21.91,0,52.479637,9.667954,55.686275,7.154286,14.90196,74
35540000,0.121401764,1.7,2518,15,6,25,0,52.863632,10.601643,62.35294,8.163265,15.686275,77
35580000,0.12813058,1.7,2677,15,6,36.78,0,53.37218,14.646092,78.82353,12.009795,16.470589,82
33640000,0.13425758,1.8,2728,15,6,27.26,0,54.01484,10.596695,68.62745,8.901224,16.470589,84
0,0.14129041,1.8,2879,15,6,43.1,0,54.525063,15.9925785,92.94118,14.073469,16.862745,88
32959998,0.14129041,1.9,3025,14,6,0,0,55.37997,0,43.92157,0,16.470589,92
34270000,0.1417316,1.9,2657,15,6,2.42,0,56.002457,0.8406427,61.568626,0.7902041,16.470589,94
35210000,0.14724106,2,2498,14,6,30.28,0,56.636295,10.299319,16.862745,9.887347,16.470589,96
35270000,0.15193498,2,2508,15,6,24.88,0,57.287865,8.375341,52.156864,8.124082,16.470589,97
34780000,0.15525334,2.1,2529,14,6,19.84,0,57.86255,6.6105795,47.058823,6.478368,16.862745,98
35300000,0.16165198,2.2,2592,14,6,25.44,0,58.738728,8.306939,52.156864,8.306939,17.254902,100
34930000,0.16716711,2.2,2628,14,6,24.39,0,59.53451,7.807923,34.117645,7.9640813,17.254902,102
34830000,0.17158343,2.3,2595,14,6,18.06,0,60.33842,5.8387547,38.039215,5.8971424,17.254902,101
32009998,0.1722463,2.4,2582,14,6,4.04,0,60.862873,1.3061225,9.803922,1.3191837,17.254902,101
