Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.843138,0.0,
0.0,0.0,0.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,28.235294,0.0,
0.0015653878,0.0,1499.0,23.0,18.0,7.2,0.0,0.0,0.0,23.921568,2.3510206,28.235294,0.0,
0.0029801433,0.0,1387.0,22.0,18.0,6.44,0.0,0.0,0.0,29.80392,2.102857,28.235294,0.0,
0.004512225,0.0,1427.0,22.0,18.0,9.2,0.0,0.0,0.0,43.137257,3.0040815,28.235294,0.0,
0.0063298824,0.0,1423.0,22.0,18.0,10.24,0.0,0.0,0.0,45.098038,3.3436735,28.235294,0.0,
0.008069249,0.0,1406.0,21.0,18.0,9.69,0.0,0.0,0.0,42.7451,3.1640818,28.235294,0.0,
0.009814892,0.0,1381.0,21.0,18.0,9.49,0.0,0.0,0.0,40.784313,3.0987754,28.235294,0.0,
0.012125063,0.0,1453.0,21.0,18.0,11.34,0.0,0.0,0.0,32.54902,3.702857,27.843138,0.0,
0.013844228,0.0,1405.0,21.0,18.0,9.77,0.0,0.0,0.0,44.313725,3.1902041,27.843138,0.0,
0.01584554,0.0,1392.0,21.0,18.0,12.13,0.0,0.0,0.0,50.19608,3.9608164,27.843138,0.0,
0.017544515,0.0,1412.0,21.0,18.0,10.18,0.0,0.093825646,166.20409,41.568626,3.3240817,27.450981,2.0,
0.019464592,0.0,1422.0,21.0,18.0,9.48,0.0,0.19640747,154.7755,41.17647,3.09551,26.27451,2.0,
0.02178359,0.0,1609.0,21.0,18.0,12.28,0.0,0.1870236,154.7755,56.07843,4.0097957,25.882353,0.0,
0.025314154,0.0,1761.0,21.0,18.0,19.26,0.0,0.400645,125.7796,56.862743,6.28898,23.529411,5.0,
0.027072929,0.0,1291.0,22.0,18.0,7.75,0.0,0.6401639,50.612244,20.392157,2.5306122,21.17647,5.0,
0.027686518,0.0,792.0,22.0,18.0,3.2,0.0,0.6132528,50.612244,40.39216,1.044898,21.17647,0.0,
0.0284206,0.0,779.0,22.0,18.0,3.27,0.0,0.5844124,50.612244,43.52941,1.0677551,23.137255,0.0,
0.029144045,0.0,787.0,23.0,18.0,3.41,0.0,0.5595732,50.612244,45.490196,1.1134694,24.313726,0.0,
0.029832168,0.0,778.0,23.0,18.0,3.45,0.0,0.53804475,50.612244,46.27451,1.1265306,25.09804,0.0,
0.030450508,0.0,781.0,23.0,18.0,3.45,0.0,0.5201075,50.612244,45.490196,1.1265306,25.490196,0.0,
0.031016214,0.0,776.0,23.0,18.0,3.41,0.0,0.5045073,50.612244,45.490196,1.1134694,25.490196,0.0,
0.031695195,0.0,779.0,22.0,18.0,3.58,0.0,0.48777434,50.612244,42.7451,1.1689795,25.490196,0.0,
0.03822218,0.0,2366.0,22.0,18.0,25.7,0.0,0.46705106,50.612244,53.72549,8.391837,0.0,0.0,
0.038597982,0.0,2160.0,22.0,18.0,1.53,0.0,1.2765776,2.3790088,23.137255,0.49959183,17.254902,21.0,
0.040677536,0.0,1822.0,21.0,18.0,9.99,0.0,2.0771444,12.546309,20.0,3.2620406,18.431372,26.0,
0.04171625,0.1,1939.0,21.0,18.0,6.43,0.0,2.7643921,7.498542,19.215687,2.0995917,21.17647,28.0,
0.043107517,0.1,2050.0,21.0,18.0,7.41,0.0,3.4635348,8.065306,12.941176,2.4195917,22.745098,30.0,
0.04402909,0.1,2069.0,21.0,18.0,5.54,0.0,4.123616,5.835418,11.764706,1.8089796,24.313726,31.0,
0.044461127,0.1,1980.0,22.0,18.0,2.6,0.0,4.7297044,2.829932,8.627451,0.8489796,25.490196,30.0,
0.044857964,0.1,1829.0,22.0,18.0,2.31,0.0,5.276716,2.6938777,7.0588236,0.75428575,26.27451,28.0,
0.045218047,0.1,1618.0,22.0,18.0,1.98,0.0,5.7331767,2.6938775,7.8431373,0.6465306,27.058823,24.0,
0.045878656,0.1,917.0,22.0,18.0,3.25,0.0,6.137576,5.05345,29.019608,1.0612246,27.450981,21.0,
0.046334676,0.2,814.0,22.0,18.0,2.67,0.0,6.308748,6.227406,33.72549,0.87183684,27.058823,14.0,
0.0467032,0.2,798.0,22.0,18.0,2.28,0.0,6.383302,7.4448986,100.0,0.74448985,26.666666,10.0,
0.046954118,0.2,1594.0,22.0,18.0,1.51,0.0,6.477316,4.482375,27.450981,0.49306124,25.882353,11.0,
0.048656587,0.2,2139.0,21.0,18.0,10.37,0.0,6.6647215,21.163265,27.450981,3.3861225,25.09804,16.0,
0.049241878,0.2,2436.0,21.0,18.0,3.53,0.0,6.9443955,5.4888244,5.490196,1.1526531,23.529411,21.0,
0.051033266,0.2,1626.0,21.0,18.0,8.77,0.0,7.3212304,12.450756,30.980392,2.863674,22.745098,23.0,
0.05164037,0.2,1560.0,22.0,18.0,2.7,0.0,7.7416267,3.673469,12.156863,0.8816326,23.529411,24.0,
0.05356864,0.2,1471.0,21.0,17.0,11.87,0.0,7.9781675,18.456755,49.80392,3.8759186,20.0,21.0,
0.055837315,0.2,1646.0,21.0,17.0,12.37,0.0,8.295336,16.829931,42.7451,4.0391836,19.607843,24.0,
0.059208635,0.3,2015.0,21.0,17.0,18.22,0.0,8.72855,20.51513,16.862745,5.9493876,21.960785,29.0,
0.062278006,0.3,2134.0,21.0,0.0,15.06,0.0,9.168205,15.86307,45.882355,4.9175515,23.529411,31.0,
0.06386524,0.3,0.0,21.0,17.0,5.89,0.0,9.81502,5.828077,11.764706,1.9232653,24.313726,33.0,
0.06468362,0.3,1543.0,21.0,17.0,3.53,0.0,10.343249,3.4928882,14.509804,1.1526531,25.490196,33.0,
