Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,79.60784,0.0,
0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,79.60784,0.0,
0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,79.60784,0.0,
0.0012431267,0.0,1473.0,25.0,19.0,6.21,0.0,0.0,0.0,28.62745,2.0277553,79.60784,0.0,
0.002713524,0.0,1366.0,24.0,19.0,6.33,0.0,0.0,0.0,27.058823,2.0669389,79.60784,0.0,
0.008145155,0.0,1398.0,23.0,19.0,10.42,0.0,0.0,0.0,44.705883,3.402449,79.60784,0.0,
0.010459561,0.0,1372.0,23.0,19.0,10.03,0.0,0.0,0.0,42.7451,3.275102,79.60784,0.0,
0.012433631,0.0,1390.0,23.0,19.0,10.09,0.0,0.0,0.0,44.313725,3.294694,79.60784,0.0,
0.014890447,0.0,1402.0,23.0,19.0,10.26,0.0,0.0,0.0,46.666668,3.350204,79.60784,0.0,
0.016860934,0.0,1405.0,23.0,19.0,9.97,0.0,0.0,0.0,43.52941,3.25551,80.0,0.0,
0.01987386,0.0,1427.0,23.0,19.0,12.9,0.0,0.0,0.0,45.490196,4.212245,79.60784,0.0,
0.022290971,0.0,1419.0,23.0,19.0,10.43,0.0,0.06438688,340.57144,41.568626,3.4057145,79.60784,1.0,
0.024584867,0.0,1451.0,23.0,19.0,9.81,0.0,0.18246567,160.16325,35.294117,3.2032652,78.43137,2.0,
0.025126759,0.0,1354.0,23.0,19.0,2.66,0.0,0.6276315,9.650794,40.784313,0.86857146,77.254906,9.0,
0.025999619,0.0,899.0,23.0,19.0,4.04,0.0,0.59576,9.650794,44.313725,1.3191837,74.90196,0.0,
0.027022598,0.0,790.0,23.0,19.0,3.53,0.0,0.55773175,9.650794,45.490196,1.1526531,74.90196,0.0,
0.028077627,0.0,788.0,23.0,19.0,3.33,0.0,0.5213901,9.650794,43.52941,1.0873469,74.90196,0.0,
0.031738333,0.0,1716.0,23.0,18.0,13.97,0.0,0.69948816,114.04082,55.686275,4.5616326,76.86275,4.0,
0.03354822,0.0,2321.0,23.0,18.0,8.29,0.0,1.3653857,15.923169,8.235294,2.7069387,81.56863,17.0,
0.03485088,0.0,1406.0,23.0,18.0,6.54,0.0,2.071445,10.169096,14.509804,2.1355102,81.17647,21.0,
0.03568693,0.1,1499.0,23.0,18.0,3.33,0.0,2.935569,4.942486,17.254902,1.0873469,80.39216,22.0,
0.036981285,0.1,1541.0,23.0,18.0,6.54,0.0,3.5659583,9.706864,25.490196,2.1355102,80.0,22.0,
0.039585177,0.1,1686.0,22.0,17.0,13.26,0.0,4.246234,17.319183,35.294117,4.329796,79.60784,25.0,
0.040758975,0.1,1227.0,22.0,17.0,5.92,0.0,4.984468,6.9037905,21.960785,1.9330614,80.39216,28.0,
0.042295564,0.1,2129.0,22.0,17.0,7.92,0.0,5.7536626,8.342331,29.80392,2.5861225,80.0,31.0,
0.042803705,0.1,2057.0,22.0,16.0,2.24,0.0,6.59375,2.3594472,7.0588236,0.7314286,81.17647,31.0,
0.043543242,0.2,992.0,23.0,16.0,3.81,0.0,7.104073,4.9763265,29.019608,1.2440816,83.13725,25.0,
0.044229206,0.2,817.0,23.0,16.0,3.21,0.0,7.041593,20.963266,41.17647,1.0481633,84.70588,5.0,
0.0448402,0.2,790.0,23.0,16.0,3.17,0.0,6.858633,20.963266,41.17647,1.035102,84.31373,0.0,
0.04561815,0.2,787.0,23.0,16.0,3.12,0.0,6.6353445,20.963266,40.784313,1.0187755,83.13725,0.0,
0.04633645,0.2,786.0,23.0,16.0,3.06,0.0,6.437588,20.963266,41.17647,0.99918365,83.13725,0.0,
0.04701942,0.2,783.0,23.0,16.0,3.14,0.0,6.26513,20.963266,41.568626,1.0253061,83.13725,0.0,
0.04770542,0.2,783.0,23.0,16.0,3.15,0.0,6.101138,20.963266,42.35294,1.0285715,83.13725,0.0,
0.048674814,0.2,1263.0,23.0,16.0,3.08,0.0,5.8787766,20.963266,47.45098,1.0057143,83.13725,0.0,
