Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0012395428,0.0,1405.0,15.0,9.0,11.22,0.0,2.0,183.18367,58.431374,3.6636734,22.745098,2.0,
0.004267524,0.0,1408.0,15.0,9.0,14.91,0.0,1.9999999,243.42856,65.882355,4.8685713,22.352942,2.0,
0.006092199,0.0,1347.0,15.0,9.0,8.72,0.0,1.1998613,243.42856,58.039215,2.847347,19.215687,0.0,
0.010163387,0.0,1611.0,15.0,9.0,20.02,0.0,3.659548,65.37143,60.39216,6.537143,15.294118,10.0,
0.012961476,0.0,1310.0,15.0,9.0,10.99,0.0,7.6435833,18.887217,12.54902,3.5885713,13.333333,19.0,
0.013720504,0.0,817.0,16.0,9.0,3.59,0.0,8.593962,9.017268,94.5098,1.1722449,16.470589,13.0,
0.014152512,0.0,895.0,16.0,9.0,2.44,0.0,9.034826,6.6394553,33.333332,0.7967347,18.82353,12.0,
0.014928253,0.0,0.0,15.0,9.0,3.35,0.0,8.452414,21.877552,64.31373,1.0938776,18.82353,5.0,
0.019502757,0.1,2720.0,15.0,9.0,20.46,0.0,9.744842,35.162186,44.313725,6.6808157,15.686275,19.0,
0.024281425,0.1,1917.0,15.0,9.0,21.87,0.0,11.484509,27.466248,21.568628,7.1412244,15.686275,26.0,
0.02469971,0.1,1797.0,15.0,9.0,2.1,0.0,12.86146,2.5396824,6.27451,0.68571424,18.431372,27.0,
0.025204744,0.1,865.0,15.0,9.0,2.9,0.0,13.447978,4.5092325,29.411764,0.9469388,19.215687,21.0,
0.025672024,0.1,803.0,15.0,9.0,2.84,0.0,13.100503,11.591837,35.686275,0.92734694,20.0,8.0,
0.029102039,0.1,1036.0,15.0,9.0,16.23,0.0,12.185086,529.9592,20.784313,5.299592,22.352942,1.0,
0.030582802,0.1,1066.0,15.0,9.0,4.55,0.0,10.912874,529.9592,16.862745,1.4857143,23.529411,0.0,
0.031069951,0.1,779.0,15.0,9.0,2.32,0.0,10.224592,529.9592,30.19608,0.757551,23.921568,0.0,
0.03156383,0.1,775.0,16.0,9.0,2.66,0.0,9.684275,529.9592,34.901962,0.86857146,24.705883,0.0,
0.03220275,0.1,772.0,16.0,9.0,2.77,0.0,9.087673,529.9592,38.039215,0.9044898,24.705883,0.0,
0.03689536,0.1,2200.0,15.0,9.0,20.17,0.0,8.614521,658.61224,52.156864,6.5861225,23.921568,1.0,
0.040933423,0.1,2449.0,15.0,9.0,21.77,0.0,8.988387,41.815125,49.80392,7.1085715,19.607843,17.0,
0.042784765,0.1,1572.0,15.0,9.0,9.35,0.0,9.578729,13.877552,32.941177,3.0530615,18.431372,22.0,
0.046240307,0.1,1700.0,15.0,9.0,15.13,0.0,10.296256,20.585033,38.039215,4.940408,20.0,24.0,
