Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.007441221,0.0,1406.0,21.0,20.0,9.73,0.0,0.0,0.0,41.568626,3.1771429,44.313725,0.0,
0.0100305155,0.0,1404.0,22.0,20.0,8.14,0.0,0.0,0.0,37.64706,2.6579592,44.313725,0.0,
0.011363601,0.0,979.0,0.0,20.0,3.69,0.0,0.0,0.0,34.901962,1.204898,44.313725,0.0,
0.012645029,0.0,791.0,22.0,20.0,3.45,0.0,0.0,0.0,0.0,1.1265306,44.313725,0.0,
0.014129786,0.0,800.0,22.0,20.0,5.09,0.0,0.0,0.0,40.39216,1.6620408,44.313725,0.0,
0.015067538,0.0,896.0,23.0,20.0,4.08,0.0,0.0,0.0,37.64706,1.332245,43.92157,0.0,
0.01628974,0.0,1027.0,23.0,20.0,5.7,0.0,0.0,0.0,45.098038,1.8612244,43.52941,0.0,
0.020886144,0.0,1083.0,22.0,20.0,19.13,0.0,0.25806972,208.21768,54.117645,6.2465305,40.39216,3.0,
0.022101484,0.0,870.0,22.0,19.0,4.97,0.0,0.8004361,23.183672,40.0,1.6228571,35.686275,7.0,
0.024830591,0.0,1349.0,22.0,19.0,10.7,0.0,0.9707709,116.462585,65.882355,3.4938776,33.72549,3.0,
0.025663264,0.0,837.0,22.0,19.0,3.61,0.0,1.4311461,14.734693,46.666668,1.1787754,36.47059,8.0,
0.026960168,0.0,808.0,22.0,19.0,3.26,0.0,1.6918347,26.612246,41.17647,1.0644898,41.960785,4.0,
0.033348393,0.0,2098.0,21.0,19.0,22.61,0.0,1.846974,184.57143,65.09804,7.3828573,33.333332,4.0,
0.040433016,0.0,1841.0,21.0,19.0,27.6,0.0,3.0639162,39.183674,69.803925,9.012245,29.411764,23.0,
0.04376102,0.1,2169.0,21.0,19.0,13.44,0.0,4.9116526,11.548873,70.588234,4.3885717,27.450981,38.0,
0.04462975,0.1,1416.0,21.0,19.0,2.98,0.0,7.184272,2.2115028,12.156863,0.9730612,33.72549,44.0,
0.04527387,0.1,1167.0,21.0,19.0,2.56,0.0,8.656631,2.1997852,17.254902,0.83591837,40.39216,38.0,
0.046332937,0.2,842.0,0.0,18.0,3.29,0.0,9.369818,5.1156464,38.82353,1.0742857,40.0,21.0,
0.049385224,0.2,970.0,22.0,18.0,9.45,0.0,10.0067835,14.693876,41.17647,3.085714,39.215687,21.0,
0.050043616,0.2,1271.0,0.0,18.0,2.63,0.0,10.7404375,3.0670555,14.90196,0.85877556,38.82353,28.0,
0.05381057,0.2,1088.0,21.0,18.0,10.69,0.0,11.405022,15.176575,65.4902,3.4906123,35.294117,23.0,
0.058370437,0.3,1381.0,21.0,18.0,17.03,0.0,12.1015,19.175228,63.52941,5.5608163,37.64706,29.0,
0.059275582,0.3,1906.0,21.0,18.0,3.78,0.0,13.088853,3.0104532,58.82353,1.2342858,39.215687,41.0,
0.06006707,0.3,1369.0,21.0,18.0,3.46,0.0,14.002994,2.6899903,17.647058,1.1297959,40.784313,42.0,
0.060886007,0.3,1332.0,21.0,18.0,3.42,0.0,14.867926,2.7237434,13.725491,1.1167347,42.7451,41.0,
0.062035836,0.4,1283.0,21.0,18.0,4.22,0.0,15.751616,3.444898,14.509804,1.3779591,44.313725,40.0,
0.062520996,0.4,1279.0,21.0,18.0,2.28,0.0,16.373156,1.9089484,12.941176,0.74448985,44.313725,39.0,
0.06303179,0.4,1260.0,21.0,18.0,2.44,0.0,16.953032,2.0429096,28.235294,0.7967347,43.52941,39.0,
0.0635444,0.5,1251.0,21.0,18.0,2.32,0.0,17.53344,1.9424386,13.725491,0.757551,43.52941,39.0,
0.064194284,0.5,1187.0,22.0,17.0,2.36,0.0,18.15289,2.0827358,14.117647,0.77061224,44.705883,37.0,
0.064717256,0.5,1062.0,22.0,17.0,2.31,0.0,18.530478,2.2857144,16.862745,0.75428575,45.098038,33.0,
0.0652795,0.5,860.0,22.0,17.0,2.64,0.0,18.7286,3.192744,29.411764,0.8620409,45.098038,27.0,
0.06588574,0.5,803.0,22.0,17.0,2.46,0.0,18.577675,6.1789637,32.156864,0.8032653,43.92157,13.0,
0.07047487,0.5,784.0,21.0,17.0,13.04,0.0,17.976229,212.89796,49.019608,4.2579594,40.39216,2.0,
0.073654115,0.5,1696.0,21.0,17.0,11.91,0.0,17.923315,24.306122,41.17647,3.8889794,38.82353,16.0,
0.07473784,0.6,1899.0,21.0,17.0,4.13,0.0,18.130444,5.186813,76.47059,1.3485714,36.47059,26.0,
0.07543537,0.6,984.0,22.0,17.0,2.65,0.0,18.478523,2.7040818,28.62745,0.86530614,37.64706,32.0,
0.076160066,0.6,784.0,22.0,17.0,2.65,0.0,18.644081,3.4612246,34.117645,0.86530614,39.215687,25.0,
0.07816888,0.6,791.0,22.0,17.0,8.74,0.0,18.609734,16.787514,34.117645,2.8538775,39.215687,17.0,
0.08069491,0.6,1076.0,21.0,17.0,10.22,0.0,18.70619,14.509316,66.27451,3.337143,39.215687,23.0,
0.08453436,0.7,1418.0,21.0,17.0,16.6,0.0,18.933796,18.068027,65.09804,5.4204082,39.215687,30.0,
0.08729427,0.7,1345.0,21.0,17.0,10.91,0.0,19.302107,9.895692,69.803925,3.5624492,38.82353,36.0,
0.087972715,0.7,1230.0,21.0,17.0,3.01,0.0,19.654617,2.5864663,17.254902,0.98285717,37.64706,38.0,
0.08858036,0.7,1108.0,21.0,17.0,2.72,0.0,19.936104,2.5376096,18.431372,0.8881633,38.039215,35.0,
0.08926721,0.8,1045.0,22.0,17.0,3.25,0.0,20.141699,3.3163269,24.313726,1.0612246,40.0,32.0,
0.09027125,0.8,835.0,22.0,17.0,3.16,0.0,20.238224,4.29932,36.862743,1.0318369,41.17647,24.0,
0.09383831,0.8,1333.0,21.0,17.0,15.19,0.0,20.21575,26.105263,52.54902,4.96,39.60784,19.0,
0.0946127,0.8,865.0,21.0,17.0,3.14,0.0,20.193035,5.396348,35.294117,1.0253061,39.215687,19.0,
0.097947165,0.8,994.0,21.0,17.0,10.57,0.0,20.024916,26.549448,70.196075,3.4514284,38.82353,13.0,
0.1037249,0.8,1748.0,21.0,17.0,25.49,0.0,20.09048,34.68027,69.01961,8.323265,38.039215,24.0,
0.10643513,0.9,1050.0,21.0,17.0,9.67,0.0,20.308634,10.185649,0.0,3.157551,38.039215,31.0,
0.10743254,0.9,1167.0,21.0,17.0,3.18,0.0,20.652292,2.8843536,16.862745,1.0383674,39.60784,36.0,
0.108299665,0.9,1107.0,21.0,17.0,3.3,0.0,20.910727,3.0787172,18.431372,1.077551,40.39216,35.0,
