Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,73.333336,0.0,
0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,73.333336,0.0,
0.0014917642,0.0,1705.0,16.0,11.0,8.15,0.0,0.0,0.0,23.137255,2.6612244,73.333336,0.0,
0.0029750294,0.0,1365.0,15.0,11.0,7.11,0.0,0.0,0.0,31.37255,2.3216326,73.72549,0.0,
0.0044030193,0.0,1379.0,15.0,11.0,8.17,0.0,0.0,0.0,37.2549,2.6677551,73.72549,0.0,
0.0059788474,0.0,1414.0,15.0,11.0,9.81,0.0,0.0,0.0,46.27451,3.2032652,73.72549,0.0,
0.0080916155,0.0,1403.0,15.0,11.0,10.01,0.0,0.0,0.0,41.960785,3.2685716,73.72549,0.0,
0.010248974,0.0,1400.0,15.0,11.0,9.39,0.0,0.0,0.0,39.60784,3.0661223,73.72549,0.0,
0.01240444,0.0,1401.0,16.0,11.0,9.14,0.0,0.0,0.0,39.60784,2.98449,73.72549,0.0,
0.014197557,0.0,1392.0,16.0,11.0,9.29,0.0,0.0,0.0,40.784313,3.0334694,73.72549,0.0,
0.015930858,0.0,1392.0,16.0,11.0,9.34,0.0,0.0,0.0,45.098038,3.0497963,73.72549,0.0,
0.018201174,0.0,1433.0,16.0,11.0,11.68,0.0,0.17621541,190.6939,52.54902,3.8138778,73.72549,2.0,
0.020587621,0.0,1429.0,16.0,11.0,12.91,0.0,0.5460419,84.310196,54.117645,4.21551,74.5098,5.0,
0.02253464,0.0,1439.0,17.0,11.0,10.37,0.0,0.7358806,112.87074,57.2549,3.3861225,74.5098,3.0,
0.030052114,0.0,2030.0,17.0,11.0,28.54,0.0,1.5471575,93.19184,0.0,9.319184,70.588234,10.0,
0.030695833,0.0,923.0,17.0,11.0,3.83,0.0,2.5742862,6.2530613,36.862743,1.2506123,70.588234,20.0,
0.031435356,0.0,815.0,17.0,11.0,3.74,0.0,3.0919106,11.102041,61.568626,1.2212245,74.5098,11.0,
0.032320365,0.0,884.0,17.0,11.0,4.79,0.0,3.630032,12.031396,46.27451,1.5640815,79.60784,13.0,
0.03313164,0.0,813.0,17.0,11.0,3.63,0.0,3.6540947,29.632654,40.784313,1.1853062,77.254906,4.0,
0.033878148,0.0,788.0,17.0,11.0,3.3,0.0,3.451797,29.632654,41.960785,1.077551,74.90196,0.0,
0.034476854,0.0,790.0,17.0,11.0,3.25,0.0,3.2941706,29.632654,42.35294,1.0612246,74.117645,0.0,
0.035203602,0.0,777.0,17.0,11.0,3.3,0.0,3.1237936,29.632654,42.35294,1.077551,74.5098,0.0,
0.03580331,0.0,781.0,17.0,11.0,3.23,0.0,2.9931598,29.632654,41.568626,1.0546938,74.90196,0.0,
0.03638878,0.0,789.0,17.0,11.0,3.3,0.0,2.870369,29.632654,43.52941,1.077551,75.29412,0.0,
0.03736153,0.0,782.0,17.0,0.0,3.55,0.0,2.7171857,29.632654,45.098038,1.1591836,74.90196,0.0,
0.0403749,0.0,1761.0,0.0,11.0,12.69,0.0,2.9157684,59.195328,49.80392,4.143673,76.07843,7.0,
0.042589214,0.1,1173.0,16.0,11.0,9.6,0.0,3.4775834,19.591839,58.82353,3.134694,76.07843,16.0,
0.043529674,0.1,1008.0,17.0,11.0,3.78,0.0,4.0791626,7.2605047,31.37255,1.2342858,73.333336,17.0,
0.0441575,0.1,836.0,17.0,11.0,3.02,0.0,4.005129,49.306126,34.509804,0.9861225,72.94118,2.0,
0.04464207,0.1,806.0,17.0,11.0,2.69,0.0,3.8848479,49.306126,33.333332,0.87836736,72.94118,0.0,
0.045336988,0.1,1274.0,17.0,11.0,3.5,0.0,3.7601538,49.306126,18.82353,1.1428572,73.333336,0.0,
0.0463432,0.1,1332.0,17.0,11.0,5.99,0.0,3.6608145,49.306126,12.941176,1.9559183,73.333336,0.0,
0.04699638,0.1,1374.0,16.0,11.0,3.88,0.0,3.5667872,49.306126,17.254902,1.2669388,73.333336,0.0,
0.047686372,0.1,1201.0,16.0,11.0,3.53,0.0,3.4921548,115.26531,24.705883,1.1526531,73.333336,1.0,
0.048118725,0.1,848.0,16.0,11.0,2.66,0.0,3.4099221,115.26531,29.019608,0.86857146,73.333336,0.0,
0.048763625,0.1,1387.0,16.0,11.0,3.79,0.0,3.3275366,115.26531,16.862745,1.2375511,73.72549,0.0,
0.04936896,0.1,1010.0,16.0,11.0,2.45,0.0,3.282658,40.0,23.921568,0.8,73.333336,2.0,
0.05052074,0.1,1724.0,16.0,11.0,5.55,0.0,3.192137,40.0,24.313726,1.812245,72.94118,0.0,
0.05156954,0.1,1047.0,16.0,11.0,6.2,0.0,3.235325,40.48979,28.235294,2.0244896,72.94118,5.0,
0.05356077,0.1,1351.0,16.0,11.0,10.37,0.0,3.2075582,169.30612,20.0,3.3861225,72.94118,2.0,
0.054139055,0.1,1082.0,16.0,11.0,3.15,0.0,3.2712188,17.142857,27.058823,1.0285715,72.94118,6.0,
