Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
5.323754E-4,0.0,1413.0,19.0,17.0,10.19,0.0,0.0,0.0,45.098038,3.3273466,23.921568,0.0,
0.0024598131,0.0,1411.0,20.0,16.0,10.0,0.0,0.0,0.0,44.313725,3.265306,23.921568,0.0,
0.0041388627,0.0,1382.0,20.0,16.0,10.16,0.0,0.0,0.0,42.7451,3.3175511,23.921568,0.0,
0.005909844,0.0,1416.0,21.0,16.0,8.59,0.0,0.0,0.0,35.686275,2.804898,23.921568,0.0,
0.006775774,0.0,1061.0,21.0,16.0,4.48,0.0,0.0,0.0,28.235294,1.4628572,23.921568,0.0,
0.007440853,0.0,887.0,22.0,16.0,3.49,0.0,0.0,0.0,59.215687,1.1395919,23.529411,0.0,
0.008054421,0.0,886.0,22.0,16.0,2.87,0.0,0.3541262,46.857143,35.686275,0.93714285,23.529411,2.0,
0.010057241,0.0,1275.0,22.0,16.0,11.64,0.0,0.55698013,190.04082,51.372547,3.8008163,22.352942,2.0,
0.010687322,0.0,1184.0,22.0,16.0,3.87,0.0,1.548334,12.636736,37.2549,1.2636735,20.0,10.0,
0.011302884,0.0,882.0,22.0,16.0,2.56,0.0,1.7434493,27.863945,24.313726,0.83591837,18.82353,3.0,
0.01184833,0.0,796.0,22.0,15.0,2.29,0.0,1.5385302,27.863945,30.19608,0.7477551,18.82353,0.0,
0.012468602,0.0,800.0,22.0,15.0,2.91,0.0,1.3923179,27.863945,85.09804,0.9502041,19.607843,0.0,
0.014657264,0.0,1099.0,21.0,15.0,10.16,0.0,1.5334686,110.58504,75.29412,3.3175511,18.82353,3.0,
0.017283453,0.0,1889.0,21.0,15.0,14.11,0.0,2.340644,35.44113,52.156864,4.607347,17.254902,13.0,
0.018547937,0.0,2635.0,20.0,14.0,5.86,0.0,3.8520372,9.111759,5.490196,1.9134694,16.862745,21.0,
0.02143106,0.1,1832.0,19.0,0.0,9.48,0.0,5.7704988,12.38204,32.941177,3.09551,18.039215,25.0,
0.023973128,0.1,2009.0,18.0,14.0,10.3,0.0,7.451512,11.597467,42.7451,3.3632655,18.431372,29.0,
0.024367068,0.1,1154.0,18.0,14.0,2.44,0.0,8.560889,2.489796,36.47059,0.7967347,18.431372,32.0,
0.025404606,0.1,1464.0,18.0,13.0,5.66,0.0,9.754293,5.600495,24.705883,1.8481632,18.82353,33.0,
0.026132362,0.1,1484.0,18.0,13.0,3.49,0.0,10.978114,3.4533088,13.725491,1.1395919,20.0,33.0,
0.026752857,0.2,848.0,18.0,13.0,3.36,0.0,11.825538,3.657143,38.431374,1.0971429,19.607843,30.0,
0.027338581,0.2,827.0,18.0,12.0,3.2,0.0,12.001988,6.530613,38.431374,1.044898,19.215687,16.0,
0.02853535,0.2,1127.0,17.0,12.0,6.43,0.0,12.166745,13.122448,42.7451,2.0995917,19.215687,16.0,
0.028993411,0.2,1215.0,17.0,12.0,2.51,0.0,12.470967,4.0979595,18.82353,0.8195919,19.215687,20.0,
0.03027685,0.2,1531.0,17.0,12.0,6.56,0.0,12.731944,11.2739,31.37255,2.142041,18.039215,19.0,
0.032010492,0.2,1709.0,16.0,11.0,9.08,0.0,13.192321,11.859592,16.862745,2.964898,18.431372,25.0,
0.032535736,0.2,929.0,17.0,11.0,3.21,0.0,13.498055,4.5572314,27.843138,1.0481633,18.039215,23.0,
0.034264404,0.2,2376.0,16.0,11.0,10.17,0.0,13.608069,19.534214,7.0588236,3.3208165,15.294118,17.0,
0.036402572,0.2,1323.0,16.0,11.0,13.06,0.0,13.766101,22.444685,58.82353,4.26449,11.764706,19.0,
0.040726878,0.3,1921.0,15.0,11.0,22.32,0.0,14.209543,26.993195,36.47059,7.2881627,13.333333,27.0,
0.043099646,0.3,1493.0,15.0,10.0,13.9,0.0,14.721241,14.183673,52.941177,4.5387754,15.294118,32.0,
0.043954317,0.3,1551.0,16.0,10.0,4.47,0.0,15.320605,4.292917,23.921568,1.4595917,17.647058,34.0,
0.044954624,0.3,1530.0,16.0,10.0,4.93,0.0,15.918289,4.734694,23.529411,1.6097959,19.607843,34.0,
