Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.002450714,0.0,1404.0,15.0,14.0,10.21,0.0,0.0,0.0,44.705883,3.3338776,94.117645,0.0,
0.0053358567,0.0,1405.0,14.0,14.0,9.9,0.0,0.0,0.0,43.137257,3.232653,94.117645,0.0,
0.008246194,0.0,1394.0,14.0,14.0,11.31,0.0,0.0,0.0,47.058823,3.693061,93.72549,0.0,
0.011539363,0.0,1485.0,15.0,14.0,9.3,0.0,1.2415437,75.91837,28.62745,3.0367348,91.76471,4.0,
0.016034918,0.0,1420.0,15.0,14.0,14.45,0.0,0.976091,75.91837,55.686275,4.718367,92.15686,0.0,
0.020318434,0.0,1398.0,16.0,14.0,13.21,0.0,0.79799944,75.91837,52.156864,4.3134694,92.94118,0.0,
0.021465031,0.0,1318.0,0.0,14.0,4.31,0.0,0.8243155,140.73468,33.333332,1.4073468,93.72549,1.0,
0.023893103,0.0,1042.0,17.0,14.0,7.96,0.0,0.97709906,129.9592,25.09804,2.599184,91.76471,2.0,
0.024655573,0.0,946.0,17.0,14.0,2.87,0.0,1.1824145,31.238094,28.62745,0.93714285,91.37255,3.0,
0.025259437,0.0,1209.0,17.0,14.0,2.92,0.0,1.5356123,15.891157,31.764706,0.95346946,92.54902,6.0,
0.025898596,0.0,985.0,17.0,14.0,3.04,0.0,1.9840201,12.408163,27.450981,0.9926531,94.5098,8.0,
0.027106369,0.0,1106.0,17.0,14.0,5.04,0.0,2.4248037,20.57143,34.509804,1.6457144,91.37255,8.0,
0.028679568,0.0,1405.0,16.0,14.0,6.21,0.0,2.9697325,20.277554,22.745098,2.0277553,92.94118,10.0,
0.032011725,0.0,1354.0,16.0,14.0,13.21,0.0,3.839794,26.959185,58.039215,4.3134694,96.07843,16.0,
0.0323784,0.1,1781.0,16.0,14.0,1.64,0.0,5.078956,2.0596547,9.019608,0.53551024,96.07843,26.0,
0.034423772,0.1,1608.0,16.0,14.0,8.23,0.0,6.1854005,11.197278,34.117645,2.687347,95.68627,24.0,
0.03480795,0.1,1793.0,16.0,14.0,1.65,0.0,7.2145324,2.0722134,5.098039,0.5387755,92.54902,26.0,
0.03531789,0.1,1454.0,16.0,14.0,2.09,0.0,7.9779997,3.1020408,9.803922,0.682449,91.37255,22.0,
0.035673127,0.1,1160.0,16.0,14.0,1.75,0.0,8.34962,3.3613446,11.372549,0.5714286,91.76471,17.0,
0.036455512,0.1,971.0,16.0,14.0,2.95,0.0,8.638173,6.8804665,30.980392,0.9632653,91.76471,14.0,
0.038486693,0.1,819.0,16.0,14.0,8.7,0.0,8.524675,47.34694,29.019608,2.8408165,92.15686,6.0,
0.040963467,0.2,1393.0,15.0,14.0,8.95,0.0,8.596256,29.22449,24.313726,2.9224489,90.196075,10.0,
0.042167157,0.2,2528.0,15.0,14.0,5.73,0.0,8.930304,10.394558,43.137257,1.8710206,89.01961,18.0,
0.048402086,0.2,1927.0,15.0,14.0,29.9,0.0,9.546547,36.16024,77.254906,9.763265,89.01961,27.0,
0.05465383,0.2,1750.0,15.0,14.0,23.5,0.0,10.730255,20.19334,60.784313,7.6734695,90.196075,38.0,
0.055735357,0.2,1965.0,15.0,0.0,3.67,0.0,12.153663,2.7869008,12.156863,1.1983674,91.76471,43.0,
0.059993856,0.3,1797.0,15.0,14.0,13.87,0.0,13.376437,11.322449,24.705883,4.5289793,91.37255,40.0,
0.063875064,0.3,1458.0,15.0,14.0,11.85,0.0,14.837052,8.411713,48.235294,3.869388,91.37255,46.0,
0.06474347,0.3,1507.0,15.0,14.0,2.43,0.0,14.146192,8.411713,10.196078,0.7934695,91.37255,0.0,
