Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.008495172,0.0,780.0,17.0,11.0,3.01,0.0,0.0,0.0,38.431374,0.98285717,54.509804,0.0,
0.0071197078,0.0,781.0,17.0,11.0,3.27,0.0,0.0,0.0,39.215687,1.0677551,54.509804,0.0,
0.009355605,0.0,1056.0,17.0,11.0,5.71,0.0,0.0,0.0,41.568626,1.8644899,54.509804,0.0,
0.007922897,0.0,985.0,17.0,11.0,4.78,0.0,0.13989787,52.02721,36.47059,1.5608164,54.509804,3.0,
0.010863251,0.0,827.0,17.0,11.0,4.11,0.0,0.3779626,44.734695,38.431374,1.3420409,54.509804,3.0,
0.009427437,0.0,792.0,17.0,11.0,12.67,0.0,0.5084486,413.71432,100.0,4.137143,53.333332,1.0,
0.011944116,0.0,1887.0,17.0,11.0,19.4,0.0,0.97241384,63.34694,25.882353,6.334694,46.666668,10.0,
0.010527379,0.0,1527.0,17.0,11.0,2.9,0.0,2.0518343,4.734694,38.039215,0.9469388,48.235294,20.0,
0.012984571,0.0,1041.0,0.0,11.0,3.49,0.0,3.167808,6.7034817,21.568628,1.1395919,54.117645,17.0,
0.011689736,0.1,1073.0,16.0,11.0,11.2,0.0,3.9863713,26.122448,68.62745,3.6571429,57.2549,14.0,
0.01653562,0.1,1916.0,16.0,11.0,12.15,0.0,4.95419,14.693876,34.901962,3.9673467,0.0,27.0,
0.014998301,0.1,1414.0,0.0,11.0,10.39,0.0,6.6325,10.944042,40.784313,3.392653,51.764706,31.0,
0.021986974,0.1,1536.0,16.0,12.0,2.76,0.0,8.096833,2.6506605,9.019608,0.90122455,51.372547,34.0,
0.021032097,0.2,840.0,16.0,12.0,2.52,0.0,8.981341,3.5776398,28.235294,0.8228572,50.980392,23.0,
0.022842374,0.2,1199.0,16.0,12.0,11.97,0.0,9.304001,35.53247,64.31373,3.9085717,38.039215,11.0,
0.021832787,0.2,2371.0,15.0,12.0,7.14,0.0,9.99794,7.0649347,79.60784,2.3314285,40.784313,33.0,
0.023848379,0.2,1850.0,15.0,12.0,2.45,0.0,11.120667,1.9512196,9.803922,0.8,45.490196,41.0,
0.02292363,0.3,1677.0,15.0,12.0,2.11,0.0,12.193342,1.8131042,6.27451,0.68897957,48.627453,38.0,
0.027190601,0.3,1541.0,15.0,12.0,9.38,0.0,13.03833,9.281385,31.764706,3.0628572,47.45098,33.0,
0.025725408,0.3,1699.0,15.0,12.0,16.69,0.0,13.85677,14.729179,50.19608,5.449796,47.45098,37.0,
0.030284029,0.3,1339.0,15.0,12.0,12.24,0.0,14.620278,9.748134,43.92157,3.9967346,47.843136,41.0,
0.02903263,0.4,1418.0,15.0,12.0,3.18,0.0,15.591584,2.3599257,14.117647,1.0383674,49.411766,44.0,
0.03387176,0.4,1304.0,15.0,12.0,2.78,0.0,16.393925,2.2693877,13.725491,0.90775514,50.588234,40.0,
0.033209365,0.4,1204.0,15.0,12.0,4.34,0.0,17.01433,3.830116,14.90196,1.4171429,51.372547,37.0,
0.03471991,0.5,854.0,15.0,12.0,2.59,0.0,17.466167,3.0204082,29.411764,0.8457143,47.058823,28.0,
0.03389905,0.5,1537.0,15.0,12.0,21.29,0.0,17.660954,33.103985,65.882355,6.951837,45.882355,21.0,
0.035350993,0.5,2058.0,14.0,12.0,17.38,0.0,17.98594,15.764171,16.862745,5.6751018,40.39216,36.0,
0.034493566,0.5,2108.0,14.0,12.0,33.42,0.0,17.714838,15.764171,76.47059,10.912652,43.52941,0.0,
0.039738365,0.5,2299.0,14.0,12.0,2.63,0.0,18.176208,1.6838737,7.0588236,0.85877556,48.627453,51.0,
0.04001985,0.6,2097.0,15.0,12.0,2.27,0.0,18.920912,1.5770735,6.6666665,0.7412245,52.941177,47.0,
0.042365756,0.6,1870.0,15.0,12.0,1.98,0.0,19.621246,1.5393586,6.27451,0.6465306,55.294117,42.0,
0.041974366,0.7,877.0,15.0,12.0,2.9,0.0,19.89323,5.9183674,30.980392,0.9469388,55.294117,16.0,
0.043019313,0.7,793.0,15.0,12.0,16.74,0.0,19.563784,182.20409,38.82353,5.4661226,54.117645,3.0,
0.04262081,0.7,1730.0,15.0,12.0,4.84,0.0,19.27102,12.156986,48.235294,1.5804082,54.509804,13.0,
0.043577768,0.7,851.0,16.0,12.0,0.0,0.0,19.103912,0.0,23.921568,0.0,53.72549,15.0,
0.04321257,0.7,794.0,16.0,12.0,2.14,0.0,18.891401,69.877556,27.058823,0.69877553,52.54902,1.0,
0.046052728,0.7,810.0,16.0,0.0,2.44,0.0,18.437025,69.877556,34.509804,0.7967347,51.372547,0.0,
0.045523327,0.7,791.0,16.0,12.0,2.36,0.0,18.015419,69.877556,30.19608,0.77061224,51.372547,0.0,
0.050563946,0.7,783.0,16.0,12.0,2.44,0.0,17.60143,69.877556,0.0,0.7967347,50.980392,0.0,
0.05001487,0.7,778.0,16.0,12.0,2.56,0.0,17.150446,69.877556,32.941177,0.83591837,50.588234,0.0,
0.0533772,0.7,784.0,16.0,12.0,2.59,0.0,16.804462,69.877556,32.941177,0.8457143,50.588234,0.0,
