Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
25039998,1.5171819,21.7,789,11,5,2.09,0,96.456726,22.965984,27.058823,0.682449,16.078432,0
24919998,1.5176,21.7,776,11,5,2.09,0,96.19599,22.965984,27.843138,0.682449,16.078432,0
24949998,1.5179529,21.7,785,11,5,2.17,0,95.98423,22.965984,27.843138,0.70857143,16.470589,0
24929998,1.5185237,21.7,778,14,5,2.23,0,91.565414,22.965984,29.019608,0.7281633,15.686275,0
25889998,1.5187473,21.7,324,14,5,1,0,91.301636,22.965984,0,0.3265306,15.686275,0
25939998,1.5187473,21.7,0,15,5,0,0,91.06841,22.965984,0,0,15.686275,0
25979998,1.5187473,21.7,0,16,5,0,0,90.85041,22.965984,0,0,15.686275,0
26009998,1.5187473,21.7,0,17,5,0,0,90.6615,22.965984,0,0,15.294118,0
26029998,1.5187473,21.7,0,17,5,0,0,90.441055,22.965984,0,0,15.294118,0
26079998,1.5187473,21.7,0,18,5,0,0,90.218445,22.965984,0,0,15.294118,0
25669998,1.5192094,21.7,1035,17,5,2.32,0,89.99051,22.965984,19.215687,0.757551,15.294118,0
27079998,1.5195125,21.7,971,16,5,1.62,0,89.779594,52.89796,55.294117,0.5289796,15.294118,1
30199998,1.51989,21.7,1119,16,5,2.01,0,89.59058,6.5632653,18.82353,0.65632653,13.333333,10
34760000,1.5217652,21.7,1479,16,5,9.85,0,89.37838,321.63266,53.333332,3.2163267,11.372549,1
35310000,1.5224466,21.7,923,16,5,3.05,0,89.13604,33.197277,100,0.9959184,0,3
35240000,1.5253448,21.7,2026,17,5,12.68,0,88.9208,29.574343,53.333332,4.140408,8.235294,14
31419998,1.5259362,21.8,3961,16,5,3.08,0,88.77945,3.352381,7.8431373,1.0057143,5.882353,30
35330000,1.5323979,21.8,3018,14,5,36.44,0,88.67401,29.021404,59.60784,11.898775,5.490196,41
34560000,1.538603,21.8,2312,13,5,31.31,0,88.57862,20.447346,88.23529,10.223673,5.882353,50
30609998,1.5392135,21.8,2570,13,5,3.69,0,88.51383,2.113856,12.156863,1.204898,7.0588236,57
23249998,1.5398513,21.9,2484,13,5,3.93,0,88.44849,2.2915452,7.8431373,1.2832654,9.411765,56
21779998,1.5403253,21.9,2113,13,5,2.87,0,88.36394,1.9939209,24.313726,0.93714285,10.588235,47
30669998,1.5452679,21.9,2326,12,5,30.98,0,88.2884,20.231836,78.039215,10.115918,11.372549,50
35060000,1.5510191,22,1794,12,5,23.2,0,88.1839,14.028723,82.745094,7.5755105,11.764706,54
34690000,1.5546585,22,1854,12,5,20.43,0,88.11574,11.703544,69.411766,6.67102,12.156863,57
35100000,1.5561945,22,1904,12,5,9.66,0,88.05905,5.346247,49.80392,3.154286,12.156863,59
0,1.5570691,22.1,1951,12,5,4.21,0,87.98784,2.2911563,0,1.3746939,12.941176,60
35600000,1.5581492,22.1,2131,11,5,3.54,0,87.90249,1.7783359,69.01961,1.1559184,14.117647,65
