Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09804,0.0,
0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09804,0.0,
0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09804,0.0,
0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09804,0.0,
0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09804,0.0,
0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,25.09804,0.0,
0.0015353906,0.0,1421.0,23.0,17.0,6.72,0.0,0.0,0.0,27.058823,2.1942859,25.09804,0.0,
0.0030884792,0.0,1357.0,22.0,17.0,7.51,0.0,0.0,0.0,29.019608,2.4522452,25.09804,0.0,
0.005443342,0.0,1349.0,22.0,17.0,11.21,0.0,0.21923895,183.02042,47.45098,3.6604083,24.705883,2.0,
0.009077132,0.0,1392.0,21.0,17.0,15.81,0.0,0.836732,86.04082,60.0,5.1624494,23.137255,6.0,
0.011093523,0.0,1265.0,21.0,16.0,9.96,0.0,1.5397614,36.13605,55.294117,3.2522447,20.0,9.0,
0.013339836,0.0,1427.0,21.0,16.0,10.2,0.0,1.4079169,36.13605,45.098038,3.330612,18.82353,0.0,
0.017687298,0.0,1392.0,21.0,16.0,18.93,0.0,1.2923346,36.13605,43.52941,6.181225,19.607843,0.0,
0.021696702,0.0,1765.0,20.0,16.0,17.59,0.0,1.4960318,143.59184,63.92157,5.743674,17.254902,4.0,
0.026029432,0.0,2171.0,20.0,16.0,20.67,0.0,2.887426,29.345165,27.843138,6.749388,10.980392,23.0,
0.030238748,0.0,2300.0,19.0,16.0,19.45,0.0,4.7119293,19.84694,63.52941,6.351021,12.54902,32.0,
0.035426762,0.1,1877.0,19.0,15.0,22.59,0.0,6.9107566,18.440817,64.70588,7.376327,15.686275,40.0,
0.036496,0.1,2041.0,19.0,15.0,5.15,0.0,8.944372,3.7369618,18.039215,1.6816328,18.82353,45.0,
0.037664454,0.1,1668.0,19.0,14.0,3.79,0.0,11.369277,2.9465501,26.27451,1.2375511,21.17647,42.0,
0.038534362,0.2,811.0,19.0,14.0,3.28,0.0,11.881885,5.3551025,41.568626,1.0710205,18.82353,20.0,
0.03953324,0.2,852.0,19.0,13.0,3.4,0.0,11.148196,5.3551025,38.82353,1.1102042,16.470589,0.0,
0.043037727,0.2,797.0,19.0,13.0,13.5,0.0,10.571958,5.3551025,94.117645,4.4081635,18.82353,0.0,
0.04777242,0.2,2112.0,19.0,13.0,20.17,0.0,10.501694,73.17914,43.92157,6.5861225,18.82353,9.0,
0.04809867,0.2,1389.0,19.0,13.0,1.49,0.0,10.841716,2.5606873,18.82353,0.4865306,18.039215,19.0,
0.04909366,0.2,1347.0,19.0,13.0,4.36,0.0,11.208339,7.1183677,9.803922,1.4236735,18.431372,20.0,
