Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
7.996055E-4,0.0,781.0,20.0,15.0,3.13,0.0,0.0,0.0,40.39216,1.0220408,81.960785,0.0,
0.0017363727,0.0,775.0,20.0,15.0,3.17,0.0,0.0,0.0,40.784313,1.035102,81.960785,0.0,
0.0025266584,0.0,774.0,20.0,14.0,3.15,0.0,0.0,0.0,40.39216,1.0285715,81.960785,0.0,
0.0034182337,0.0,780.0,20.0,14.0,3.27,0.0,0.0,0.0,41.568626,1.0677551,81.960785,0.0,
0.0042524864,0.0,779.0,20.0,14.0,3.48,0.0,0.0,0.0,44.705883,1.1363266,81.960785,0.0,
0.0055247718,0.0,1009.0,20.0,14.0,4.27,0.0,0.0,0.0,37.2549,1.3942858,81.960785,0.0,
0.0076057105,0.0,811.0,19.0,14.0,7.65,0.0,0.0,0.0,56.862743,2.4979591,81.960785,0.0,
0.010530776,0.0,1649.0,19.0,14.0,10.29,0.0,0.39311984,111.99999,43.92157,3.36,80.0,3.0,
0.013596445,0.0,877.0,19.0,14.0,12.11,0.0,1.1880895,49.428566,24.313726,3.9542854,78.82353,8.0,
0.014047504,0.0,1616.0,19.0,14.0,1.74,0.0,2.1360023,5.1651206,4.3137255,0.5681633,82.35294,11.0,
0.018663071,0.0,1865.0,19.0,13.0,20.42,0.0,2.9026043,55.564625,41.960785,6.667755,83.52941,12.0,
0.020179026,0.1,2389.0,17.0,13.0,4.28,0.0,5.8436985,4.6585035,94.117645,1.3975511,78.43137,30.0,
0.021274498,0.1,2290.0,17.0,12.0,3.29,0.0,9.84034,2.1924198,9.411765,1.0742857,79.60784,49.0,
0.022275157,0.1,1922.0,18.0,12.0,3.33,0.0,12.553744,2.4163265,6.27451,1.0873469,84.31373,45.0,
0.025733726,0.2,825.0,17.0,11.0,14.06,0.0,12.995952,22.955103,90.98039,4.5910206,85.882355,20.0,
0.02619008,0.2,1585.0,17.0,11.0,1.86,0.0,13.611307,2.5306122,9.019608,0.60734695,83.52941,24.0,
0.027107392,0.2,1852.0,17.0,10.0,3.37,0.0,14.159927,4.784383,58.039215,1.1004081,87.45098,23.0,
0.02859628,0.2,1789.0,17.0,10.0,7.0,0.0,14.72021,8.465609,8.627451,2.2857144,88.23529,27.0,
0.038027506,0.2,2101.0,16.0,10.0,37.66,0.0,15.4182825,42.40394,83.13725,12.297142,90.98039,29.0,
0.03949345,0.3,3370.0,15.0,10.0,7.07,0.0,16.684668,4.809524,88.23529,2.3085716,86.666664,48.0,
0.041193407,0.3,1668.0,16.0,9.0,7.27,0.0,18.127918,4.6546617,10.196078,2.3738775,84.31373,51.0,
