Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29412,0.0,
0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29412,0.0,
0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29412,0.0,
0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29412,0.0,
0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,75.29412,0.0,
0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.2,0.0,26.0,20.0,0.0,0.0,29.850025,0.0,0.0,0.0,75.29412,255.0,
0.0,0.2,0.0,26.0,20.0,0.0,0.0,26.274544,0.0,0.0,0.0,75.29412,0.0,
0.0,0.2,0.0,26.0,20.0,0.0,0.0,23.461153,0.0,0.0,0.0,75.29412,0.0,
0.0,0.2,0.0,26.0,20.0,0.0,0.0,21.471804,0.0,0.0,0.0,75.29412,0.0,
0.0,0.2,0.0,26.0,20.0,0.0,0.0,19.593601,0.0,0.0,0.0,75.29412,0.0,
0.0,0.2,0.0,26.0,20.0,0.0,0.0,18.027594,0.0,0.0,0.0,75.29412,0.0,
0.0,0.2,0.0,26.0,20.0,0.0,0.0,16.831903,0.0,0.0,0.0,75.68627,0.0,
0.0014033106,0.2,1480.0,24.0,20.0,6.38,0.0,15.731639,0.0,30.980392,2.0832653,75.29412,0.0,
0.0035581551,0.2,1418.0,24.0,20.0,11.27,0.0,14.937697,368.00003,53.72549,3.6800003,74.90196,1.0,
0.0057271384,0.2,1396.0,24.0,20.0,10.84,0.0,14.192949,353.9592,47.843136,3.539592,74.117645,1.0,
0.009374437,0.2,1418.0,23.0,20.0,15.46,0.0,13.649158,100.96327,61.17647,5.0481634,72.54902,5.0,
0.011177619,0.2,1227.0,23.0,20.0,9.02,0.0,13.283333,49.088436,65.4902,2.9453063,70.98039,6.0,
0.01407234,0.2,1394.0,23.0,20.0,10.18,0.0,12.4384775,49.088436,43.92157,3.3240817,69.01961,0.0,
0.017478824,0.2,1408.0,23.0,19.0,15.86,0.0,11.867496,49.088436,41.17647,5.1787753,69.411766,0.0,
0.021407094,0.2,1614.0,23.0,19.0,17.67,0.0,11.556371,115.395905,62.35294,5.7697954,71.37255,5.0,
0.022271093,0.2,2538.0,23.0,19.0,4.2,0.0,11.775572,8.067226,33.72549,1.3714285,77.254906,17.0,
0.027788086,0.2,2006.0,22.0,19.0,21.26,0.0,12.463129,26.700157,70.588234,6.942041,75.68627,26.0,
0.03156206,0.2,1611.0,22.0,19.0,16.61,0.0,13.377546,15.496211,53.333332,5.4236736,0.0,35.0,
0.03311664,0.3,1784.0,22.0,18.0,5.15,0.0,14.689693,4.311879,22.352942,1.6816328,75.29412,39.0,
0.033875465,0.3,1680.0,22.0,18.0,2.87,0.0,15.689864,2.4661653,8.235294,0.93714285,76.07843,38.0,
0.03443481,0.3,845.0,22.0,17.0,2.59,0.0,16.071924,3.132275,35.294117,0.8457143,77.64706,27.0,
0.03491372,0.3,818.0,23.0,17.0,2.48,0.0,15.981631,6.2291994,29.019608,0.809796,78.43137,13.0,
0.036533903,0.3,1930.0,22.0,17.0,6.35,0.0,15.870141,15.949764,38.039215,2.0734694,75.29412,13.0,
0.037505805,0.3,868.0,22.0,16.0,3.7,0.0,15.948987,6.7120185,39.215687,1.2081634,75.68627,18.0,
0.038956225,0.4,1469.0,22.0,16.0,7.06,0.0,16.09133,10.977649,28.235294,2.3053062,78.43137,21.0,
0.03966357,0.4,1412.0,22.0,16.0,3.44,0.0,16.225811,5.3488827,16.078432,1.1232654,78.82353,21.0,
0.043618117,0.4,1440.0,22.0,16.0,16.44,0.0,16.343111,26.840818,59.60784,5.3681636,83.52941,20.0,
0.04634599,0.4,1504.0,21.0,16.0,12.88,0.0,16.626741,15.576719,65.882355,4.205714,81.960785,27.0,
0.047206894,0.4,1450.0,21.0,15.0,4.38,0.0,16.997126,4.4693885,24.705883,1.4302043,78.82353,32.0,
0.048212092,0.4,1480.0,22.0,15.0,4.37,0.0,17.436352,4.3240566,17.647058,1.4269388,76.07843,33.0,
0.05059156,0.5,1588.0,21.0,15.0,9.26,0.0,17.958855,8.639068,32.156864,3.0236735,74.5098,35.0,
0.05127248,0.5,1708.0,21.0,15.0,3.45,0.0,18.384415,3.0446775,16.078432,1.1265306,74.117645,37.0,
0.05441886,0.5,1700.0,21.0,14.0,13.1,0.0,18.877266,11.560949,41.960785,4.277551,74.5098,37.0,
0.05635581,0.6,1051.0,21.0,14.0,6.14,0.0,19.620016,4.8899946,66.666664,2.0048978,74.117645,41.0,
0.057281908,0.6,1083.0,21.0,14.0,3.57,0.0,20.221628,2.77551,29.019608,1.1657143,74.117645,42.0,
0.05796074,0.6,1075.0,22.0,14.0,2.95,0.0,20.705563,2.3494277,20.392157,0.9632653,74.117645,41.0,
0.05854827,0.6,1019.0,22.0,14.0,3.01,0.0,21.060474,2.5201466,22.745098,0.98285717,75.29412,39.0,
0.059325136,0.7,830.0,22.0,14.0,3.64,0.0,21.287294,3.714286,43.52941,1.1885716,75.68627,32.0,
0.060453933,0.7,795.0,21.0,14.0,5.24,0.0,21.486313,5.5194206,58.82353,1.7110204,76.07843,31.0,
0.06109323,0.7,857.0,22.0,13.0,2.75,0.0,21.367477,5.6122446,32.941177,0.8979592,77.254906,16.0,
0.062448002,0.7,1236.0,21.0,13.0,6.26,0.0,21.024324,51.102043,23.529411,2.0440817,76.07843,4.0,
0.06303601,0.7,1388.0,21.0,13.0,3.09,0.0,20.85306,9.172542,8.627451,1.0089796,78.039215,11.0,
0.065717496,0.7,1174.0,21.0,13.0,12.38,0.0,20.760607,25.265306,59.60784,4.042449,79.21568,16.0,
0.06598122,0.7,2030.0,20.0,13.0,1.18,0.0,20.900394,1.3760933,77.254906,0.38530612,77.64706,28.0,
0.0669419,0.8,1530.0,20.0,13.0,4.67,0.0,21.11134,4.6209035,52.54902,1.5248982,76.07843,33.0,
0.06746234,0.8,1539.0,21.0,13.0,2.67,0.0,21.321068,2.564226,10.196078,0.87183684,76.07843,34.0,
0.06795091,0.8,1251.0,21.0,13.0,2.48,0.0,21.44526,2.7924,14.509804,0.809796,76.47059,29.0,
0.06872122,0.8,826.0,21.0,13.0,3.12,0.0,21.3967,5.361976,32.156864,1.0187755,73.72549,19.0,
0.06917079,0.8,1255.0,21.0,13.0,2.12,0.0,21.255768,5.3249607,45.098038,0.6922449,69.411766,13.0,
0.07350845,0.8,1448.0,20.0,13.0,18.71,0.0,21.23316,30.54694,61.960785,6.109388,69.01961,20.0,
0.07757951,0.9,2338.0,20.0,13.0,16.07,0.0,21.460274,15.901051,28.62745,5.247347,71.37255,33.0,
0.07844795,0.9,1928.0,20.0,13.0,2.89,0.0,21.897617,2.3016427,16.078432,0.9436735,72.94118,41.0,
