time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
13:55:06.883,,,,,,,,,,,,,,0.0,
13:55:07.400,,,,1398.0,,,,,,,,,,,
13:55:07.401,,,,,,,,,,0.0,,,,,
13:55:07.813,,,,,,,,,,,41.960785,,,,
13:55:07.816,,,0.0,,,,,,,,,,,,
13:55:07.819,,0.010130931,,,,,,,,,,,,,
13:55:07.821,,,,,,,,,0.0,,,,,,
13:55:08.021,,,,,21.0,,,,,,,,,,
13:55:08.022,,,,,,,9.46,,,,,,,,
13:55:08.217,3.505E7,,,,,,,,,,,,,,
13:55:08.404,,,,,,18.0,,,,,,,,,
13:55:09.106,,,,,,,,0.0,,,,,,,
13:55:09.108,,,,,,,,,,,,3.0889795,,,
13:55:09.237,,,,,,,,,,,,,34.509804,,
13:55:10.606,,,,,,,,,,,,,,0.0,
13:55:10.607,,,,1390.0,,,,,,,,,,,
13:55:10.611,,,,,,,,,,0.0,41.960785,,,,
13:55:10.612,,0.012577347,0.0,,,,,,,,,,,,
13:55:10.613,,,,,,,,,0.0,,,,,,
13:55:10.775,,,,,20.0,,,,,,,,,,
13:55:10.776,,,,,,,9.65,,,,,,,,
13:55:10.911,3.5E7,,,,,,,,,,,,,,
13:55:11.168,,,,,,18.0,,,,,,,,,
13:55:11.800,,,,,,,,0.0,,,,,,,
13:55:11.802,,,,,,,,,,,,3.1510203,,,
13:55:11.977,,,,,,,,,,,,,34.509804,,
13:55:13.370,,,,,,,,,,,,,,0.0,
13:55:13.380,,,,1399.0,,,,,,,,,,,
13:55:13.381,,,,,,,,,,0.0,43.52941,,,,
13:55:13.385,,,0.0,,,,,,,,,,,,
13:55:13.391,,0.01515728,,,,,,,,,,,,,
13:55:13.407,,,,,,,,,0.0,,,,,,
13:55:13.562,,,,,20.0,,,,,,,,,,
13:55:13.566,,,,,,,10.25,,,,,,,,
13:55:13.724,3.489E7,,,,,,,,,,,,,,
13:55:13.865,,,,,,18.0,,,,,,,,,
13:55:14.559,,,,,,,,0.0,,,,,,,
13:55:14.562,,,,,,,,,,,,3.3469388,,,
13:55:14.721,,,,,,,,,,,,,34.509804,,
13:55:16.315,,,,,,,,,,,,,,0.0,
13:55:16.317,,,,1418.0,,,,,,,,,,,
13:55:16.320,,,,,,,,,,0.0,,,,,
13:55:16.324,,,,,,,,,,,43.92157,,,,
13:55:16.327,,,0.0,,,,,,,,,,,,
13:55:16.328,,0.018478816,,,,,,,,,,,,,
13:55:16.330,,,,,,,,,0.0,,,,,,
13:55:16.529,,,,,20.0,,,,,,,,,,
13:55:16.531,,,,,,,12.46,,,,,,,,
13:55:16.972,3.515E7,,,,,,,,,,,,,,
13:55:17.152,,,,,,18.0,,,,,,,,,
13:55:17.771,,,,,,,,0.0,,,,,,,
13:55:17.783,,,,,,,,,,,,4.0685716,,,
13:55:17.978,,,,,,,,,,,,,34.509804,,
13:55:19.420,,,,1380.0,,,,,,,,,,1.0,
13:55:19.430,,,,,,,,,,475.42862,,,,,
13:55:19.441,,,,,,,,,,,52.156864,,,,
13:55:19.450,,,0.0,,,,,,,,,,,,
13:55:19.451,,0.022597877,,,,,,,,,,,,,
