time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
17:18:26.197,,,,,,,,,,,,,,17.0,
17:18:26.198,,,,1260.0,,,,,,,,,,,
17:18:26.201,,,,,,,,,,14.213687,,,,,
17:18:26.202,,,,,,,,,,,43.52941,,,,
17:18:26.205,,,0.1,,,,,,,,,,,,
17:18:26.206,,0.027072392,,,,,,,,,,,,,
17:18:26.208,,,,,,,,,6.414797,,,,,,
17:18:26.353,,,,,14.0,,7.4,,,,,,,,
17:18:26.481,3.477E7,,,,,,,,,,,,,,
17:18:26.621,,,,,,11.0,,,,,,,,,
17:18:27.282,,,,,,,,0.0,,,,,,,
17:18:27.283,,,,,,,,,,,,2.4163268,,,
17:18:27.284,,0.030502768,,,,,,,,,,,,,
17:18:27.601,,,,,,,,,,,,,78.82353,,
17:18:29.097,,,,1365.0,,,,,,,,,,21.0,
17:18:29.099,,,,,,,,,,9.609329,12.54902,,,,
17:18:29.101,,,0.1,,,,,,,,,,,,
17:18:29.102,,0.028695729,,,,,,,7.315974,,,,,,
17:18:29.238,,,,,14.0,,,,,,,,,,
17:18:29.239,,,,,,,6.18,,,,,,,,
17:18:29.375,3.2849998E7,,,,,,,,,,,,,,
17:18:29.528,,,,,,11.0,,,,,,,,,
17:18:30.157,,,,,,,,0.0,,,,,,,
17:18:30.159,,,,,,,,,,,,2.017959,,,
17:18:30.322,,0.032114893,,,,,,,,,,,77.254906,,
17:18:31.471,,,,1401.0,,,,,,,,,,21.0,
17:18:31.473,,,0.1,,,,,,,5.255588,14.90196,,,,
17:18:31.474,,0.029422926,,,,,,,8.045806,,,,,,
17:18:31.609,,,,,14.0,,,,,,,,,,
17:18:31.610,,,,,,,3.38,,,,,,,,
17:18:31.956,2.9079998E7,,,,,,,,,,,,,,
17:18:32.106,,,,,,11.0,,,,,,,,,
17:18:32.735,,,,,,,,0.0,,,,,,,
17:18:32.874,,,,,,,,,,,,1.1036735,,,
17:18:32.875,,0.032904938,,,,,,,,,,,77.254906,,
17:18:34.434,,,,,,,,,,,,,,17.0,
17:18:34.435,,,,1191.0,,,,,,,,,,,
17:18:34.437,,,,,,,,,,4.9747896,30.19608,,,,
17:18:34.438,,,0.1,,,,,,,,,,,,
17:18:34.440,,0.030119466,,,,,,,,,,,,,
17:18:34.441,,,,,,,,,8.712041,,,,,,
17:18:34.567,,,,,14.0,,,,,,,,,,
17:18:34.569,,,,,,,2.59,,,,,,,,
17:18:34.706,2.8429998E7,,,,,,,,,,,,,,
17:18:34.856,,,,,,11.0,,,,,,,,,
17:18:35.516,,,,,,,,0.0,,,,0.8457143,,,
17:18:35.517,,0.03355802,,,,,,,,,,,,,
17:18:35.655,,,,,,,,,,,,,76.86275,,
17:18:36.766,,,,1047.0,,,,,,,,,,15.0,
17:18:36.767,,,,,,,,,,6.4435377,23.137255,,,,
17:18:36.768,,,0.1,,,,,,,,,,,,
17:18:36.769,,0.030744758,,,,,,,9.049413,,,,,,
17:18:36.924,,,,,14.0,,2.96,,,,,,,,
17:18:37.067,2.7339998E7,,,,,,,,,,,,,,
17:18:37.210,,,,,,11.0,,,,,,,,,
17:18:37.863,,,,,,,,0.0,,,,,,,
17:18:37.867,,,,,,,,,,,,0.9665307,,,
17:18:37.875,,0.034190558,,,,,,,,,,,,,
17:18:38.032,,,,,,,,,,,,,77.254906,,
17:18:39.113,,,,,,,,,,,,,,6.0,
17:18:39.115,,,,833.0,,,,,,,,,,,
17:18:39.122,,,,,,,,,,14.911564,,,,,
17:18:39.266,,,,,,,,,,,31.37255,,,,
17:18:39.271,,,0.1,,,,,,,,,,,,
17:18:39.407,,0.031399872,,,,,,,,,,,,,
17:18:39.413,,,,,,,,,9.085449,,,,,,
17:18:39.540,,,,,14.0,,,,,,,,,,
17:18:39.541,,,,,,,2.74,,,,,,,,
17:18:39.693,2.9569998E7,,,,,,,,,,,,,,
17:18:39.832,,,,,,11.0,,,,,,,,,
17:18:40.458,,,,,,,,0.0,,,,,,,
17:18:40.459,,,,,,,,,,,,0.89469385,,,
17:18:40.464,,0.03483399,,,,,,,,,,,,,
17:18:40.808,,,,,,,,,,,,,76.07843,,
17:18:41.853,,,,,,,,,,,,,,4.0,
17:18:41.854,,,,1731.0,,,,,,,,,,,
17:18:41.857,,,,,,,,,,82.12245,,,,,
17:18:41.858,,,,,,,,,,,46.27451,,,,
17:18:41.860,,,0.1,,,,,,,,,,,,
17:18:41.863,,0.033642728,,,,,,,,,,,,,
17:18:41.864,,,,,,,,,8.896217,,,,,,
17:18:42.015,,,,,14.0,,10.06,,,,,,,,
17:18:42.182,3.556E7,,,,,,,,,,,,,,
17:18:42.322,,,,,,11.0,,,,,,,,,
17:18:42.961,,,,,,,,0.0,,,,,,,
17:18:42.964,,,,,,,,,,,,3.284898,,,
17:18:42.969,,0.03711973,,,,,,,,,,,,,
17:18:43.105,,,,,,,,,,,,,74.90196,,
17:18:44.490,,,,,,,,,,,,,,16.0,
17:18:44.491,,,,2240.0,,,,,,,,,,,
17:18:44.626,,,,,,,,,,10.693877,45.490196,,,,
17:18:44.629,,,0.1,,,,,,,,,,,,
17:18:44.632,,0.034958787,,,,,,,,,,,,,
17:18:44.634,,,,,,,,,9.007986,,,,,,
17:18:44.770,,,,,14.0,,5.24,,,,,,,,
17:18:44.900,3.631E7,,,,,,,,,,,,,,
17:18:45.043,,,,,,11.0,,,,,,,,,
17:18:45.682,,,,,,,,0.0,,,,,,,
17:18:45.685,,,,,,,,,,,,1.7110204,,,
17:18:45.693,,0.038413927,,,,,,,,,,,,,
17:18:45.811,,,,,,,,,,,,,71.76471,,
17:18:46.854,,,,2021.0,,,,,,,,,,28.0,
17:18:46.858,,,,,,,,,,41.177845,,,,,
17:18:46.859,,,,,,,,,,,85.4902,,,,
17:18:46.860,,,0.2,,,,,,,,,,,,
17:18:46.863,,0.04210406,,,,,,,,,,,,,
17:18:47.001,,,,,,,,,9.503788,,,,,,
17:18:47.023,,,,,13.0,,35.31,,,,,,,,
17:18:47.163,3.557E7,,,,,,,,,,,,,,
17:18:47.305,,,,,,11.0,,,,,,,,,
17:18:47.949,,,,,,,,0.0,,,,,,,
17:18:47.953,,,,,,,,,,,,11.529797,,,
17:18:47.958,,0.04567129,,,,,,,,,,,,,
17:18:48.099,,,,,,,,,,,,,72.15686,,
17:18:49.398,,,,,,,,,,,,,,39.0,
17:18:49.399,,,,2617.0,,,,,,,,,,,
17:18:49.403,,,,,,,,,,2.6206176,,,,,
17:18:49.404,,,,,,,,,,,6.27451,,,,
17:18:49.406,,,0.2,,,,,,,,,,,,
17:18:49.556,,0.04282659,,,,,,,10.514626,,,,,,
17:18:49.557,,,,,14.0,,3.13,,,,,,,,
17:18:49.695,2.9249998E7,,,,,,,,,,,,,,
17:18:50.011,,,,,,11.0,,,,,,,,,
17:18:50.820,,,,,,,,0.0,,,,,,,
17:18:50.822,,,,,,,,,,,,1.0220408,,,
17:18:50.827,,0.0464858,,,,,,,,,,,,,
