time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
08:24:11.422,,,,,,5,,,,,,,,
08:24:12.064,,,,,,,,0,,,,,,
08:24:12.068,,,,,,,,,,,,0,,
08:24:12.610,,,,,,,,,,,,,15.294118,
08:24:12.903,,,,,,,,,,,,,,0
08:24:13.056,,,,1035,,,,,,,,,,
08:24:13.059,,,,,,,,,,22.965984,,,,
08:24:13.191,,,,,,,,,,,19.215687,,,
08:24:13.194,,,21.7,,,,,,,,,,,
08:24:13.198,,1.5192094,,,,,,,,,,,,
08:24:13.200,,,,,,,,,89.99051,,,,,
08:24:13.332,,,,,17,,,,,,,,,
08:24:13.335,,,,,,,2.32,,,,,,,
08:24:13.471,25669998,,,,,,,,,,,,,
08:24:13.615,,,,,,5,,,,,,,,
08:24:14.280,,,,,,,,0,,,,,,
08:24:14.284,,,,,,,,,,,,0.757551,,
08:24:14.434,,,,,,,,,,,,,15.294118,
08:24:14.864,,,,,,,,,,,,,,1
08:24:15.048,,,,971,,,,,,,,,,
08:24:15.051,,,,,,,,,,52.89796,,,,
08:24:15.254,,,,,,,,,,,55.294117,,,
08:24:15.257,,,21.7,,,,,,,,,,,
08:24:15.263,,1.5195125,,,,,,,,,,,,
08:24:15.265,,,,,,,,,89.779594,,,,,
08:24:15.459,,,,,16,,,,,,,,,
08:24:15.461,,,,,,,1.62,,,,,,,
08:24:15.633,27079998,,,,,,,,,,,,,
08:24:15.771,,,,,,5,,,,,,,,
08:24:16.419,,,,,,,,0,,,,,,
08:24:16.424,,,,,,,,,,,,0.5289796,,
08:24:16.560,,,,,,,,,,,,,15.294118,
08:24:17.048,,,,,,,,,,,,,,10
08:24:17.169,,,,1119,,,,,,,,,,
08:24:17.176,,,,,,,,,,6.5632653,,,,
08:24:17.325,,,,,,,,,,,18.82353,,,
08:24:17.337,,,21.7,,,,,,,,,,,
08:24:17.338,,1.51989,,,,,,,,,,,,
08:24:17.339,,,,,,,,,89.59058,,,,,
08:24:17.478,,,,,16,,,,,,,,,
08:24:17.480,,,,,,,2.01,,,,,,,
08:24:17.628,30199998,,,,,,,,,,,,,
08:24:17.760,,,,,,5,,,,,,,,
08:24:18.409,,,,,,,,0,,,,0.65632653,,
08:24:18.550,,,,,,,,,,,,,13.333333,
08:24:19.109,,,,,,,,,,,,,,1
08:24:19.283,,,,1479,,,,,,,,,,
08:24:19.286,,,,,,,,,,321.63266,,,,
08:24:19.424,,,,,,,,,,,53.333332,,,
08:24:19.427,,,21.7,,,,,,,,,,,
08:24:19.430,,1.5217652,,,,,,,,,,,,
08:24:19.432,,,,,,,,,89.37838,,,,,
08:24:19.780,,,,,16,,,,,,,,,
08:24:19.784,,,,,,,9.85,,,,,,,
08:24:19.980,34760000,,,,,,,,,,,,,
08:24:20.322,,,,,,5,,,,,,,,
08:24:20.970,,,,,,,,0,,,,,,
08:24:20.972,,,,,,,,,,,,3.2163267,,
08:24:21.102,,,,,,,,,,,,,11.372549,
08:24:21.598,,,,,,,,,,,,,,3
08:24:21.750,,,,923,,,,,,,,,,
08:24:21.753,,,,,,,,,,33.197277,,,,
08:24:21.888,,,,,,,,,,,100,,,
08:24:21.891,,,21.7,,,,,,,,,,,
08:24:21.894,,1.5224466,,,,,,,89.13604,,,,,
08:24:22.030,,,,,16,,,,,,,,,
08:24:22.032,,,,,,,3.05,,,,,,,
08:24:22.372,35310000,,,,,,,,,,,,,
08:24:22.512,,,,,,5,,,,,,,,
08:24:23.148,,,,,,,,0,,,,,,
08:24:23.151,,,,,,,,,,,,0.9959184,,
08:24:23.807,,,,,,,,,,,,,0,
08:24:24.299,,,,2026,,,,,,29.574343,,,,14
08:24:24.408,,,,,,,,,,,53.333332,,,
08:24:24.410,,,21.7,,,,,,,,,,,
08:24:24.414,,1.5253448,,,,,,,,,,,,
08:24:24.424,,,,,,,,,88.9208,,,,,
08:24:24.582,,,,,17,,,,,,,,,
08:24:24.584,,,,,,,12.68,,,,,,,
08:24:24.778,35240000,,,,,,,,,,,,,
08:24:24.922,,,,,,5,,,,,,,,
08:24:25.598,,,,,,,,0,,,,,,
08:24:25.599,,,,,,,,,,,,4.140408,,
08:24:25.736,,,,,,,,,,,,,8.235294,
08:24:26.243,,,,,,,,,,,,,,30
08:24:26.381,,,,3961,,,,,,,,,,
08:24:26.390,,,,,,,,,,3.352381,,,,
08:24:26.522,,,,,,,,,,,7.8431373,,,
08:24:26.534,,,21.8,,,,,,,,,,,
08:24:26.538,,1.5259362,,,,,,,,,,,,
08:24:26.539,,,,,,,,,88.77945,,,,,
08:24:26.663,,,,,16,,,,,,,,,
08:24:26.665,,,,,,,3.08,,,,,,,
08:24:26.808,31419998,,,,,,,,,,,,,
08:24:26.939,,,,,,5,,,,,,,,
08:24:27.583,,,,,,,,0,,,,,,
08:24:27.587,,,,,,,,,,,,1.0057143,,
08:24:27.721,,,,,,,,,,,,,5.882353,
08:24:28.212,,,,,,,,,,,,,,41
08:24:28.340,,,,3018,,,,,,,,,,
08:24:28.346,,,,,,,,,,29.021404,,,,
08:24:28.480,,,,,,,,,,,59.60784,,,
08:24:28.483,,,21.8,,,,,,,,,,,
08:24:28.484,,1.5323979,,,,,,,,,,,,
08:24:28.486,,,,,,,,,88.67401,,,,,
08:24:28.622,,,,,14,,,,,,,,,
08:24:28.624,,,,,,,36.44,,,,,,,
08:24:28.785,35330000,,,,,,,,,,,,,
08:24:28.935,,,,,,5,,,,,,,,
08:24:29.576,,,,,,,,0,,,,,,
08:24:29.714,,,,,,,,,,,,11.898775,,
08:24:29.986,,,,,,,,,,,,,5.490196,
08:24:30.450,,,,,,,,,,,,,,50
08:24:30.472,,,,2312,,,,,,,,,,
08:24:30.473,,,,,,,,,,20.447346,,,,
08:24:30.665,,,,,,,,,,,88.23529,,,
08:24:30.667,,,21.8,,,,,,,,,,,
08:24:30.671,,1.538603,,,,,,,,,,,,
08:24:30.673,,,,,,,,,88.57862,,,,,
08:24:30.849,,,,,13,,,,,,,,,
08:24:30.850,,,,,,,31.31,,,,,,,
08:24:30.990,34560000,,,,,,,,,,,,,
08:24:31.119,,,,,,5,,,,,,,,
08:24:31.763,,,,,,,,0,,,,,,
08:24:31.764,,,,,,,,,,,,10.223673,,
08:24:31.899,,,,,,,,,,,,,5.882353,
08:24:32.348,,,,2570,,,,,,2.113856,,,,57
08:24:32.489,,,,,,,,,,,12.156863,,,
08:24:32.491,,,21.8,,,,,,,,,,,
08:24:32.494,,1.5392135,,,,,,,,,,,,
08:24:32.496,,,,,,,,,88.51383,,,,,
08:24:32.642,,,,,13,,,,,,,,,
08:24:32.644,,,,,,,3.69,,,,,,,
08:24:32.771,30609998,,,,,,,,,,,,,
08:24:32.915,,,,,,5,,,,,,,,
08:24:33.557,,,,,,,,0,,,,,,
08:24:33.558,,,,,,,,,,,,1.204898,,
08:24:33.685,,,,,,,,,,,,,7.0588236,
08:24:34.142,,,,2484,,,,,,,,,,56
08:24:34.143,,,,,,,,,,2.2915452,,,,
08:24:34.279,,,,,,,,,,,7.8431373,,,
08:24:34.281,,,21.9,,,,,,,,,,,
08:24:34.283,,1.5398513,,,,,,,,,,,,
08:24:34.284,,,,,,,,,88.44849,,,,,
08:24:34.427,,,,,13,,,,,,,,,
08:24:34.428,,,,,,,3.93,,,,,,,
08:24:34.618,23249998,,,,,,,,,,,,,
08:24:34.773,,,,,,5,,,,,,,,
08:24:35.403,,,,,,,,0,,,,,,
08:24:35.404,,,,,,,,,,,,1.2832654,,
08:24:35.545,,,,,,,,,,,,,9.411765,
08:24:36.011,,,,,,,,,,,,,,47
08:24:36.013,,,,2113,,,,,,1.9939209,,,,
08:24:36.098,,,,,,,,,,,24.313726,,,
08:24:36.101,,,21.9,,,,,,,,,,,
08:24:36.104,,1.5403253,,,,,,,,,,,,
08:24:36.106,,,,,,,,,88.36394,,,,,
08:24:36.245,,,,,13,,,,,,,,,
08:24:36.246,,,,,,,2.87,,,,,,,
08:24:36.392,21779998,,,,,,,,,,,,,
08:24:36.520,,,,,,5,,,,,,,,
08:24:37.175,,,,,,,,0,,,,,,
08:24:37.177,,,,,,,,,,,,0.93714285,,
08:24:37.311,,,,,,,,,,,,,10.588235,
08:24:37.791,,,,,,,,,,,,,,50
08:24:37.792,,,,2326,,,,,,,,,,
08:24:37.793,,,,,,,,,,20.231836,,,,
08:24:37.858,,,,,,,,,,,78.039215,,,
08:24:37.860,,,21.9,,,,,,,,,,,
08:24:37.863,,1.5452679,,,,,,,,,,,,
08:24:37.865,,,,,,,,,88.2884,,,,,
08:24:38.009,,,,,12,,,,,,,,,
08:24:38.010,,,,,,,30.98,,,,,,,
08:24:38.150,30669998,,,,,,,,,,,,,
08:24:38.492,,,,,,5,,,,,,,,
08:24:39.139,,,,,,,,0,,,,,,
08:24:39.141,,,,,,,,,,,,10.115918,,
08:24:39.301,,,,,,,,,,,,,11.372549,
08:24:40.174,,,,,,,,,,,,,,54
08:24:40.313,,,,1794,,,,,,,,,,
08:24:40.477,,,,,,,,,,14.028723,,,,
08:24:40.592,,,,,,,,,,,82.745094,,,
08:24:40.593,,,22,,,,,,,,,,,
08:24:40.596,,1.5510191,,,,,,,,,,,,
08:24:40.598,,,,,,,,,88.1839,,,,,
08:24:40.744,,,,,12,,,,,,,,,
08:24:40.747,,,,,,,23.2,,,,,,,
08:24:40.873,35060000,,,,,,,,,,,,,
08:24:41.013,,,,,,5,,,,,,,,
08:24:41.658,,,,,,,,0,,,,7.5755105,,
08:24:41.795,,,,,,,,,,,,,11.764706,
08:24:42.259,,,,,,,,,,,,,,57
08:24:42.260,,,,1854,,,,,,11.703544,,,,
08:24:42.555,,,,,,,,,,,69.411766,,,
08:24:42.558,,,22,,,,,,,,,,,
08:24:42.559,,1.5546585,,,,,,,,,,,,
08:24:42.562,,,,,,,,,88.11574,,,,,
08:24:42.688,,,,,12,,,,,,,,,
08:24:42.689,,,,,,,20.43,,,,,,,
08:24:42.849,34690000,,,,,,,,,,,,,
08:24:42.968,,,,,,5,,,,,,,,
08:24:43.617,,,,,,,,0,,,,,,
08:24:43.618,,,,,,,,,,,,6.67102,,
08:24:43.748,,,,,,,,,,,,,12.156863,
08:24:44.191,,,,1904,,,,,,5.346247,,,,59
08:24:44.309,,,,,,,,,,,49.80392,,,
08:24:44.311,,,22,,,,,,,,,,,
08:24:44.314,,1.5561945,,,,,,,,,,,,
08:24:44.315,,,,,,,,,88.05905,,,,,
08:24:44.468,,,,,12,,,,,,,,,
08:24:44.473,,,,,,,9.66,,,,,,,
08:24:44.622,35100000,,,,,,,,,,,,,
08:24:44.771,,,,,,5,,,,,,,,
08:24:45.411,,,,,,,,0,,,,3.154286,,
08:24:45.538,,,,,,,,,,,,,12.156863,
08:24:46.036,,,,,,,,,,,,,,60
08:24:46.038,,,,1951,,,,,,2.2911563,,,,
08:24:46.599,,,,,,,,,,,0,,,
08:24:46.602,,,22.1,,,,,,,,,,,
08:24:46.608,,1.5570691,,,,,,,,,,,,
08:24:46.609,,,,,,,,,87.98784,,,,,
08:24:46.744,,,,,12,,,,,,,,,
08:24:46.746,,,,,,,4.21,,,,,,,
08:24:47.403,0,,,,,,,,,,,,,
08:24:47.525,,,,,,5,,,,,,,,
08:24:48.173,,,,,,,,0,,,,,,
08:24:48.174,,,,,,,,,,,,1.3746939,,
08:24:48.698,,,,,,,,,,,,,12.941176,
08:24:49.209,,,,,,,,,,,,,,65
08:24:49.612,,,,2131,,,,,,,,,,
08:24:49.615,,,,,,,,,,1.7783359,,,,
08:24:49.962,,,,,,,,,,,69.01961,,,
08:24:49.965,,,22.1,,,,,,,,,,,
08:24:49.967,,1.5581492,,,,,,,,,,,,
08:24:49.969,,,,,,,,,87.90249,,,,,
08:24:50.166,,,,,11,,,,,,,,,
08:24:50.167,,,,,,,3.54,,,,,,,
08:24:50.505,35600000,,,,,,,,,,,,,
08:24:50.642,,,,,,5,,,,,,,,
08:24:51.293,,,,,,,,0,,,,,,
08:24:51.452,,,,,,,,,,,,1.1559184,,
08:24:52.156,,,,,,,,,,,,,14.117647,
08:24:52.624,,,,,,,,,,,,,,69
08:24:52.626,,,,2229,,,,,,11.1872225,,,,
08:24:52.708,,,,,,,,,,,67.84314,,,
08:24:52.710,,,22.2,,,,,,,,,,,
08:24:52.713,,1.564035,,,,,,,,,,,,
08:24:52.715,,,,,,,,,87.845375,,,,,
08:24:52.883,,,,,11,,,,,,,,,
08:24:52.885,,,,,,,23.64,,,,,,,
08:24:53.030,34980000,,,,,,,,,,,,,
08:24:53.183,,,,,,5,,,,,,,,
08:24:53.808,,,,,,,,0,,,,,,
08:24:53.812,,,,,,,,,,,,7.7191834,,
08:24:53.976,,,,,,,,,,,,,14.509804,
08:24:54.473,,,,2097,,,,,,1.3792262,,,,67
08:24:54.534,,,,,,,,,,,10.196078,,,
08:24:54.537,,,22.2,,,,,,,,,,,
08:24:54.539,,1.564504,,,,,,,,,,,,
08:24:54.541,,,,,,,,,87.80357,,,,,
08:24:54.677,,,,,11,,,,,,,,,
08:24:54.679,,,,,,,2.83,,,,,,,
08:24:54.824,30669998,,,,,,,,,,,,,
08:24:54.973,,,,,,5,,,,,,,,
08:24:55.604,,,,,,,,0,,,,,,
08:24:55.606,,,,,,,,,,,,0.9240816,,
08:24:55.807,,,,,,,,,,,,,14.90196,
08:24:56.312,,,,1550,,,,,,1.1491365,,,,52
08:24:56.386,,,,,,,,,,,12.941176,,,
08:24:56.387,,,22.2,,,,,,,,,,,
08:24:56.390,,1.5648112,,,,,,,,,,,,
08:24:56.392,,,,,,,,,87.73095,,,,,
08:24:56.544,,,,,12,,,,,,,,,
08:24:56.547,,,,,,,1.83,,,,,,,
08:24:56.703,29809998,,,,,,,,,,,,,
08:24:56.844,,,,,,5,,,,,,,,
08:24:57.479,,,,,,,,0,,,,,,
08:24:57.482,,,,,,,,,,,,0.59755105,,
08:24:57.628,,,,,,,,,,,,,14.509804,
08:24:58.087,,,,,,,,,,,,,,33
08:24:58.088,,,,829,,,,,,,,,,
08:24:58.089,,,,,,,,,,2.7210884,,,,
08:24:58.229,,,,,,,,,,,31.764706,,,
08:24:58.232,,,22.3,,,,,,,,,,,
08:24:58.236,,1.5652711,,,,,,,,,,,,
08:24:58.240,,,,,,,,,87.62038,,,,,
08:24:58.394,,,,,12,,,,,,,,,
08:24:58.397,,,,,,,2.75,,,,,,,
08:24:58.521,27689998,,,,,,,,,,,,,
08:24:58.665,,,,,,5,,,,,,,,
08:24:59.309,,,,,,,,0,,,,,,
08:24:59.310,,,,,,,,,,,,0.8979592,,
08:24:59.439,,,,,,,,,,,,,12.941176,
08:24:59.904,,,,,,,,,,,,,,14
08:24:59.905,,,,807,,,,,,5.714286,,,,
08:25:00.004,,,,,,,,,,,29.80392,,,
08:25:00.012,,,22.3,,,,,,,,,,,
08:25:00.015,,1.5656669,,,,,,,,,,,,
08:25:00.018,,,,,,,,,87.47747,,,,,
08:25:00.165,,,,,12,,2.45,,,,,,,
08:25:00.318,24329998,,,,,,,,,,,,,
08:25:00.961,,,,,,0,,,,,,,,
08:25:01.598,,,,,,,,0,,,,,,
08:25:01.599,,,,,,,,,,,,0.8,,
08:25:01.946,,,,,,,,,,,,,9.411765,
08:25:02.507,,,,,,,,,,,,,,25
08:25:02.631,,,,2844,,,,,,,,,,
08:25:02.636,,,,,,,,,,8.306939,,,,
08:25:02.777,,,,,,,,,,,65.882355,,,
08:25:02.789,,1.567263,22.3,,,,,,,,,,,
08:25:02.790,,,,,,,,,87.28932,,,,,
08:25:02.908,,,,,11,,,,,,,,,
08:25:02.909,,,,,,,6.36,,,,,,,
08:25:03.054,34070000,,,,,,,,,,,,,
08:25:03.197,,,,,,5,,,,,,,,
08:25:03.851,,,,,,,,0,,,,,,
08:25:03.859,,,,,,,,,,,,2.0767348,,
08:25:04.001,,,,,,,,,,,,,6.6666665,
08:25:04.473,,,,,,,,,,,,,,35
08:25:04.474,,,,2542,,,,,,32.298542,,,,
