time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
07:02:13.896,,,,0.0,,,,,,,,,,0.0,
07:02:13.898,,,,,,,,,,0.0,,,,,
07:02:13.899,,,,,,,,,,,0.0,,,,
07:02:13.900,,,0.0,,,,,,,,,,,,
07:02:13.901,,0.0,,,,,,,,,,,,,
07:02:13.902,,,,,,,,,0.0,,,,,,
07:02:14.246,,,,,26.0,,,,,,,,,,
07:02:14.248,,,,,,,0.0,,,,,,,,
07:02:14.395,40000.0,,,,,,,,,,,,,,
07:02:14.528,,,,,,20.0,,,,,,,,,
07:02:15.160,,,,,,,,0.0,,,,,,,
07:02:15.161,,,,,,,,,,,,0.0,,,
07:02:15.344,,,,,,,,,,,,,75.29412,,
07:02:16.906,,,,,,,,,,,,,,0.0,
07:02:16.907,,,,0.0,,,,,,,,,,,
07:02:16.911,,,,,,,,,,0.0,,,,,
07:02:16.913,,,,,,,,,,,0.0,,,,
07:02:16.914,,,0.0,,,,,,,,,,,,
07:02:16.917,,0.0,,,,,,,,,,,,,
07:02:16.919,,,,,,,,,0.0,,,,,,
07:02:17.061,,,,,26.0,,,,,,,,,,
07:02:17.063,,,,,,,0.0,,,,,,,,
07:02:17.211,50000.0,,,,,,,,,,,,,,
07:02:17.362,,,,,,20.0,,,,,,,,,
07:02:18.011,,,,,,,,0.0,,,,,,,
07:02:18.012,,,,,,,,,,,,0.0,,,
07:02:18.166,,,,,,,,,,,,,75.29412,,
07:02:19.138,,,,,,,,,,,,,,0.0,
07:02:19.139,,,,0.0,,,,,,,,,,,
07:02:19.144,,,,,,,,,,0.0,,,,,
07:02:19.146,,,,,,,,,,,0.0,,,,
07:02:19.150,,,0.0,,,,,,,,,,,,
07:02:19.155,,0.0,,,,,,,,,,,,,
07:02:19.158,,,,,,,,,0.0,,,,,,
07:02:19.302,,,,,26.0,,,,,,,,,,
07:02:19.303,,,,,,,0.0,,,,,,,,
07:02:19.464,40000.0,,,,,,,,,,,,,,
07:02:19.584,,,,,,20.0,,,,,,,,,
07:02:20.225,,,,,,,,0.0,,,,,,,
07:02:20.230,,,,,,,,,,,,0.0,,,
07:02:20.366,,,,,,,,,,,,,75.29412,,
07:02:21.542,,,,0.0,,,,,,,,,,0.0,
07:02:21.543,,,,,,,,,,0.0,0.0,,,,
07:02:21.544,,,0.0,,,,,,,,,,,,
07:02:21.545,,0.0,,,,,,,0.0,,,,,,
07:02:21.679,,,,,26.0,,0.0,,,,,,,,
07:02:21.822,40000.0,,,,,,,,,,,,,,
07:02:22.170,,,,,,20.0,,,,,,,,,
07:02:22.824,,,,,,,,0.0,,,,,,,
07:02:22.825,,,,,,,,,,,,0.0,,,
07:02:22.974,,,,,,,,,,,,,75.29412,,
07:02:24.193,,,,,,,,,,,,,,0.0,
07:02:24.194,,,,0.0,,,,,,,,,,,
07:02:24.196,,,,,,,,,,0.0,0.0,,,,
07:02:24.197,,,0.0,,,,,,,,,,,,
07:02:24.199,,0.0,,,,,,,,,,,,,
07:02:24.200,,,,,,,,,0.0,,,,,,
07:02:24.531,,,,,26.0,,,,,,,,,,
07:02:24.533,,,,,,,0.0,,,,,,,,
07:02:24.669,40000.0,,,,,,,,,,,,,,
07:02:24.802,,,,,,20.0,,,,,,,,,
07:02:25.434,,,,,,,,0.0,,,,0.0,,,
07:02:25.620,,,,,,,,,,,,,75.29412,,
07:02:27.676,,,,,,,,,,,,,,0.0,
07:02:27.677,,,,0.0,,,,,,,,,,,
07:02:27.682,,,,,,,,,,0.0,,,,,
07:02:27.684,,,,,,,,,,,0.0,,,,
07:02:27.686,,,0.0,,,,,,,,,,,,
07:02:27.691,,0.0,,,,,,,,,,,,,
07:02:27.692,,,,,,,,,0.0,,,,,,
07:02:27.839,,,,,26.0,,,,,,,,,,
07:02:27.842,,,,,,,0.0,,,,,,,,
