time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit
08:09:44.433,,,,,,,,,,,,,,52
08:09:44.582,,,,1361,,,,,,,,,,
08:09:44.588,,,,,,,,,,8.923077,,,,
08:09:44.712,,,,,,,,,,,64.70588,,,
08:09:44.714,,,0,,,,,,,,,,,
08:09:44.715,,0.00075786666,,,,,,,,,,,,
08:09:44.716,,,,,,,,,52,,,,,
08:09:44.851,,,,,20,,14.21,,,,,,,
08:09:44.991,35230000,,,,,,,,,,,,,
08:09:45.157,,,,,,7,,,,,,,,
08:09:45.805,,,,,,,,0,,,,,,
08:09:45.812,,,,,,,,,,,,4.64,,
08:09:45.954,,,,,,,,,,,,,12.156863,
08:09:46.450,,,,,,,,,,,,,,54
08:09:46.594,,,,1402,,,,,,,,,,
08:09:46.600,,,,,,,,,,9.245654,,,,
08:09:46.739,,,,,,,,,,,69.01961,,,
08:09:46.742,,,0,,,,,,,,,,,
08:09:46.747,,0.0035745555,,,,,,,,,,,,
08:09:46.751,,,,,,,,,53.551243,,,,,
08:09:46.909,,,,,20,,,,,,,,,
08:09:46.914,,,,,,,15.29,,,,,,,
08:09:47.045,35350000,,,,,,,,,,,,,
08:09:47.189,,,,,,7,,,,,,,,
08:09:47.841,,,,,,,,0,,,,,,
08:09:47.843,,,,,,,,,,,,4.9926534,,
08:09:48.196,,,,,,,,,,,,,12.54902,
08:09:48.489,,,,,,,,,,,,,,56
08:09:48.629,,,,1466,,,,,,,,,,
08:09:48.633,,,,,,,,,,10.005832,,,,
08:09:48.779,,,,,,,,,,,69.803925,,,
08:09:48.781,,,0.1,,,,,,,,,,,
08:09:48.784,,0.0067466265,,,,,,,,,,,,
08:09:48.786,,,,,,,,,54.6206,,,,,
08:09:48.943,,,,,20,,,,,,,,,
08:09:48.944,,,,,,,17.16,,,,,,,
08:09:49.102,35230000,,,,,,,,,,,,,
08:09:49.231,,,,,,7,,,,,,,,
08:09:49.879,,,,,,,,0,,,,,,
08:09:49.892,,,,,,,,,,,,5.603266,,
08:09:50.026,,,,,,,,,,,,,13.333333,
08:09:50.343,,,,,,,,,,,,,,59
08:09:50.498,,,,1539,,,,,,,,,,
08:09:50.502,,,,,,,,,,10.377033,,,,
08:09:50.639,,,,,,,,,,,73.72549,,,
08:09:50.641,,,0.1,,,,,,,,,,,
08:09:50.646,,0.0099098915,,,,,,,,,,,,
08:09:50.649,,,,,,,,,55.871853,,,,,
08:09:50.770,,,,,19,,,,,,,,,
08:09:50.776,,,,,,,18.75,,,,,,,
08:09:50.954,34520000,,,,,,,,,,,,,
08:09:51.096,,,,,,7,,,,,,,,
