time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
15:29:07.702,,,,,,,,,,,,,,0.0,
15:29:07.848,,,,0.0,,,,,,0.0,,,,,
15:29:08.189,,,0.0,,,,,,,,0.0,,,,
15:29:08.190,,0.0,,,,,,,0.0,,,,,,
15:29:08.542,,,,,15.0,,0.0,,,,,,,,
15:29:08.695,30000.0,,,,,,,,,,,,,,
15:29:08.850,,,,,,10.0,,,,,,,,,
15:29:09.506,,,,,,,,0.0,,,,,,,
15:29:09.507,,,,,,,,,,,,0.0,,,
15:29:09.650,,,,,,,,,,,,,67.45098,,
15:29:10.164,,,,,,,,,,,,,,0.0,
15:29:10.349,,,,0.0,,,,,,,,,,,
15:29:10.356,,,,,,,,,,0.0,,,,,
15:29:11.047,,,,,,,,,,,0.0,,,,
15:29:11.052,,,0.0,,,,,,,,,,,,
15:29:11.055,,0.0,,,,,,,,,,,,,
15:29:11.057,,,,,,,,,0.0,,,,,,
15:29:11.215,,,,,15.0,,,,,,,,,,
15:29:11.217,,,,,,,0.0,,,,,,,,
15:29:11.348,30000.0,,,,,,,,,,,,,,
15:29:11.532,,,,,,10.0,,,,,,,,,
15:29:12.158,,,,,,,,0.0,,,,0.0,,,
15:29:12.289,,,,,,,,,,,,,67.45098,,
15:29:13.622,,,,,,,,,,,,,,0.0,
15:29:14.124,,,,0.0,,,,,,,,,,,
15:29:14.129,,,,,,,,,,0.0,,,,,
15:29:14.439,,0.0,0.0,,,,,,,,0.0,,,,
15:29:14.440,,,,,16.0,,,,0.0,,,,,,
15:29:14.441,,,,,,,0.0,,,,,,,,
15:29:14.564,30000.0,,,,,,,,,,,,,,
15:29:14.681,,,,,,10.0,,,,,,,,,
15:29:15.339,,,,,,,,0.0,,,,,,,
15:29:15.340,,,,,,,,,,,,0.0,,,
15:29:15.472,,,,,,,,,,,,,67.45098,,
15:29:15.821,,,,,,,,,,,,,,0.0,
15:29:16.051,,,,0.0,,,,,,,,,,,
15:29:16.057,,,,,,,,,,0.0,,,,,
15:29:16.195,,,,,,,,,,,0.0,,,,
15:29:16.196,,,0.0,,,,,,,,,,,,
15:29:16.205,,0.0,,,,,,,,,,,,,
15:29:16.207,,,,,,,,,0.0,,,,,,
15:29:16.384,,,,,16.0,,,,,,,,,,
15:29:16.385,,,,,,,0.0,,,,,,,,
15:29:16.517,30000.0,,,,,,,,,,,,,,
15:29:16.727,,,,,,10.0,,,,,,,,,
15:29:17.363,,,,,,,,0.0,,,,0.0,,,
15:29:17.505,,,,,,,,,,,,,67.45098,,
15:29:18.063,,,,,,,,,,,,,,0.0,
15:29:18.219,,,,0.0,,,,,,,,,,,
15:29:18.236,,,,,,,,,,0.0,,,,,
15:29:18.379,,,,,,,,,,,0.0,,,,
15:29:18.381,,,0.0,,,,,,,,,,,,
15:29:18.385,,0.0,,,,,,,,,,,,,
15:29:18.387,,,,,,,,,0.0,,,,,,
15:29:18.523,,,,,15.0,,0.0,,,,,,,,
15:29:18.865,1.1349999E7,,,,,,,,,,,,,,
15:29:19.011,,,,,,10.0,,,,,,,,,
15:29:19.671,,,,,,,,0.0,,,,,,,
15:29:19.828,,,,,,,,,,,,0.0,,,
15:29:20.131,,,,,,,,,,,,,67.45098,,
15:29:20.638,,,,,,,,,,,,,,0.0,
15:29:20.769,,,,1401.0,,,,,,,,,,,
15:29:20.772,,,,,,,,,,0.0,,,,,
15:29:20.915,,,,,,,,,,,44.313725,,,,
15:29:20.917,,,0.0,,,,,,,,,,,,
15:29:20.921,,0.0017435721,,,,,,,,,,,,,
15:29:20.924,,,,,,,,,0.0,,,,,,
15:29:21.095,,,,,14.0,,,,,,,,,,
15:29:21.098,,,,,,,7.58,,,,,,,,
15:29:21.227,3.568E7,,,,,,,,,,,,,,
15:29:21.427,,,,,,10.0,,,,,,,,,
15:29:22.107,,,,,,,,0.0,,,,,,,
15:29:22.108,,,,,,,,,,,,2.4751022,,,
15:29:22.237,,,,,,,,,,,,,67.45098,,
15:29:22.522,,,,,,,,,,,,,,2.0,
15:29:22.674,,,,1396.0,,,,,,,,,,,
15:29:22.678,,,,,,,,,,164.2449,,,,,
15:29:22.868,,,,,,,,,,,47.45098,,,,
15:29:22.871,,,0.0,,,,,,,,,,,,
15:29:22.873,,0.0035256292,,,,,,,,,,,,,
15:29:22.876,,,,,,,,,0.25219747,,,,,,
15:29:23.234,,,,,14.0,,,,,,,,,,
15:29:23.238,,,,,,,10.06,,,,,,,,
15:29:23.384,3.519E7,,,,,,,,,,,,,,
15:29:24.024,,,,,,0.0,,,,,,,,,
15:29:24.665,,,,,,,,0.0,,,,,,,
15:29:24.666,,,,,,,,,,,,3.284898,,,
15:29:24.803,,,,,,,,,,,,,67.45098,,
15:29:25.457,,,,,,,,,,,,,,0.0,
15:29:25.936,,,,1390.0,,,,,,,,,,,
15:29:25.942,,,,,,,,,,164.2449,,,,,
15:29:26.069,,,,,,,,,,,53.333332,,,,
15:29:26.074,,,0.0,,,,,,,,,,,,
15:29:26.079,,0.006576105,,,,,,,,,,,,,
15:29:26.081,,,,,,,,,0.20892006,,,,,,
15:29:26.221,,,,,14.0,,,,,,,,,,
15:29:26.222,,,,,,,10.5,,,,,,,,
15:29:26.388,3.497E7,,,,,,,,,,,,,,
15:29:26.951,,,,,,10.0,,,,,,,,,
15:29:27.600,,,,,,,,0.0,,,,,,,
15:29:27.602,,,,,,,,,,,,3.4285717,,,
15:29:27.739,,,,,,,,,,,,,64.70588,,
15:29:28.248,,,,1407.0,,,,,,190.04082,,,,2.0,
15:29:28.300,,,,,,,,,,,49.80392,,,,
15:29:28.302,,,0.0,,,,,,,,,,,,
15:29:28.305,,0.008929444,,,,,,,,,,,,,
15:29:28.306,,,,,,,,,0.39965546,,,,,,
15:29:28.452,,,,,14.0,,,,,,,,,,
15:29:28.455,,,,,,,11.64,,,,,,,,
15:29:28.634,3.518E7,,,,,,,,,,,,,,
15:29:28.798,,,,,,10.0,,,,,,,,,
15:29:29.458,,,,,,,,0.0,,,,3.8008163,,,
15:29:29.592,,,,,,,,,,,,,65.09804,,
15:29:30.060,,,,,,,,,,,,,,2.0,
15:29:30.062,,,,1402.0,,,,,,163.2653,,,,,
15:29:30.147,,,,,,,,,,,49.019608,,,,
15:29:30.150,,,0.0,,,,,,,,,,,,
15:29:30.152,,0.010604726,,,,,,,,,,,,,
15:29:30.153,,,,,,,,,0.5295823,,,,,,
15:29:30.702,,,,,15.0,,,,,,,,,,
15:29:30.704,,,,,,,10.0,,,,,,,,
15:29:30.859,3.518E7,,,,,,,,,,,,,,
15:29:31.362,,,,,,10.0,,,,,,,,,
15:29:32.375,,,,,,,,0.0,,,,,,,
15:29:32.377,,,,,,,,,,,,3.265306,,,
15:29:32.533,,,,,,,,,,,,,65.09804,,
15:29:33.011,,,,,,,,,,,,,,1.0,
15:29:33.012,,,,1416.0,,,,,,,,,,,
15:29:33.013,,,,,,,,,,169.14285,,,,,
15:29:33.114,,,,,,,,,,,25.882353,,,,
15:29:33.119,,,0.0,,,,,,,,,,,,
15:29:33.121,,0.011999685,,,,,,,,,,,,,
15:29:33.123,,,,,,,,,0.5839036,,,,,,
15:29:33.285,,,,,15.0,,,,,,,,,,
15:29:33.286,,,,,,,5.18,,,,,,,,
15:29:33.431,3.499E7,,,,,,,,,,,,,,
15:29:33.782,,,,,,10.0,,,,,,,,,
15:29:34.446,,,,,,,,0.0,,,,,,,
15:29:34.454,,,,,,,,,,,,1.6914285,,,
15:29:34.631,,,,,,,,,,,,,65.09804,,
15:29:35.122,,,,,,,,,,,,,,4.0,
15:29:35.255,,,,1256.0,,,,,,,,,,,
15:29:35.260,,,,,,,,,,107.18367,,,,,
15:29:35.417,,,,,,,,,,,78.43137,,,,
15:29:35.420,,,0.0,,,,,,,,,,,,
15:29:35.422,,0.014740014,,,,,,,,,,,,,
15:29:35.425,,,,,,,,,0.86442304,,,,,,
15:29:35.592,,,,,15.0,,,,,,,,,,
15:29:35.593,,,,,,,13.13,,,,,,,,
15:29:35.737,3.5E7,,,,,,,,,,,,,,
15:29:35.888,,,,,,10.0,,,,,,,,,
15:29:36.529,,,,,,,,0.0,,,,,,,
15:29:36.530,,,,,,,,,,,,4.287347,,,
15:29:36.647,,,,,,,,,,,,,63.52941,,
15:29:37.264,,,,,,,,,,,,,,12.0,
15:29:37.409,,,,1778.0,,,,,,,,,,,
15:29:37.414,,,,,,,,,,41.278908,,,,,
15:29:37.555,,,,,,,,,,,65.4902,,,,
15:29:37.560,,,0.0,,,,,,,,,,,,
15:29:37.561,,0.017681824,,,,,,,,,,,,,
15:29:37.564,,,,,,,,,1.6541775,,,,,,
15:29:37.691,,,,,15.0,,,,,,,,,,
15:29:37.698,,,,,,,15.17,,,,,,,,
15:29:37.859,3.474E7,,,,,,,,,,,,,,
15:29:38.007,,,,,,10.0,,,,,,,,,
15:29:38.649,,,,,,,,0.0,,,,,,,
15:29:38.651,,,,,,,,,,,,4.9534693,,,
15:29:38.813,,,,,,,,,,,,,58.431374,,
15:29:39.303,,,,,,,,,,,,,,15.0,
15:29:39.304,,,,1379.0,,,,,,23.662584,,,,,
15:29:39.370,,,,,,,,,,,48.235294,,,,
15:29:39.373,,,0.0,,,,,,,,,,,,
15:29:39.377,,0.019471308,,,,,,,,,,,,,
15:29:39.381,,,,,,,,,2.4125152,,,,,,
15:29:39.718,,,,,15.0,,,,,,,,,,
15:29:39.720,,,,,,,10.87,,,,,,,,
15:29:39.860,3.492E7,,,,,,,,,,,,,,
15:29:40.019,,,,,,10.0,,,,,,,,,
15:29:40.682,,,,,,,,0.0,,,,,,,
15:29:40.684,,,,,,,,,,,,3.5493877,,,
15:29:40.833,,,,,,,,,,,,,59.60784,,
15:29:41.364,,,,1524.0,,,,,,,,,,2.0,
15:29:41.365,,,,,,,,,,164.08165,,,,,
15:29:41.455,,,,,,,,,,,54.509804,,,,
15:29:41.456,,,0.0,,,,,,,,,,,,
15:29:41.457,,0.021361893,,,,,,,2.387424,,,,,,
15:29:41.658,,,,,15.0,,,,,,,,,,
15:29:41.664,,,,,,,10.05,,,,,,,,
15:29:41.801,3.492E7,,,,,,,,,,,,,,
15:29:41.935,,,,,,10.0,,,,,,,,,
15:29:42.604,,,,,,,,0.0,,,,,,,
15:29:42.610,,,,,,,,,,,,3.281633,,,
15:29:42.922,,,,,,,,,,,,,61.568626,,
15:29:43.418,,,,,,,,,,,,,,10.0,
15:29:43.531,,,,1260.0,,,,,,,,,,,
15:29:43.538,,,,,,,,,,16.84898,,,,,
15:29:43.667,,,,,,,,,,,42.7451,,,,
15:29:43.685,,,0.0,,,,,,,,,,,,
15:29:43.686,,0.022402786,,,,,,,,,,,,,
15:29:43.688,,,,,,,,,2.8543828,,,,,,
15:29:44.016,,,,,15.0,,,,,,,,,,
15:29:44.020,,,,,,,5.16,,,,,,,,
15:29:44.166,3.502E7,,,,,,,,,,,,,,
15:29:44.298,,,,,,10.0,,,,,,,,,
15:29:44.930,,,,,,,,0.0,,,,,,,
15:29:44.932,,,,,,,,,,,,1.6848979,,,
15:29:45.077,,,,,,,,,,,,,66.27451,,
15:29:45.870,,,,,,,,,,,,,,0.0,
15:29:45.999,,,,1375.0,,,,,,,,,,,
15:29:46.003,,,,,,,,,,16.84898,,,,,
15:29:46.134,,,,,,,,,,,35.686275,,,,
15:29:46.137,,,0.0,,,,,,,,,,,,
15:29:46.142,,0.024191448,,,,,,,,,,,,,
15:29:46.143,,,,,,,,,2.6728199,,,,,,
15:29:46.285,,,,,15.0,,,,,,,,,,
15:29:46.291,,,,,,,8.0,,,,,,,,
15:29:46.425,3.532E7,,,,,,,,,,,,,,
15:29:46.569,,,,,,10.0,,,,,,,,,
15:29:47.205,,,,,,,,0.0,,,,,,,
15:29:47.211,,,,,,,,,,,,2.6122448,,,
15:29:47.366,,,,,,,,,,,,,65.882355,,
15:29:47.869,,,,,,,,,,,,,,0.0,
15:29:47.870,,,,1405.0,,,,,,16.84898,,,,,
15:29:47.937,,,,,,,,,,,27.058823,,,,
15:29:47.942,,,0.0,,,,,,,,,,,,
15:29:47.945,,0.02535122,,,,,,,,,,,,,
15:29:48.099,,,,,,,,,2.5442822,,,,,,
15:29:48.233,,,,,15.0,,,,,,,,,,
15:29:48.384,,,,,,,7.08,,,,,,,,
15:29:48.538,3.48E7,,,,,,,,,,,,,,
15:29:48.666,,,,,,10.0,,,,,,,,,
15:29:49.336,,,,,,,,0.0,,,,,,,
15:29:49.337,,,,,,,,,,,,2.3118367,,,
15:29:49.481,,,,,,,,,,,,,65.09804,,
15:29:50.003,,,,,,,,,,,,,,0.0,
15:29:50.134,,,,1614.0,,,,,,,,,,,
15:29:50.139,,,,,,,,,,16.84898,,,,,
15:29:50.295,,,,,,,,,,,40.39216,,,,
15:29:50.303,,,0.0,,,,,,,,,,,,
15:29:50.304,,0.027339438,,,,,,,,,,,,,
