time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
17:18:01.179,,,,,,,,,,,,,,0.0,
17:18:01.180,,,,0.0,,,,,,,,,,,
17:18:01.182,,,,,,,,,,0.0,0.0,,,,
17:18:01.184,,,0.0,,,,,,,,,,,,
17:18:01.186,,0.0,,,,,,,,,,,,,
17:18:01.187,,,,,,,,,0.0,,,,,,
17:18:01.319,,,,,23.0,,,,,,,,,,
17:18:01.320,,,,,,,0.0,,,,,,,,
17:18:01.443,30000.0,,,,,,,,,,,,,,
17:18:01.589,,,,,,18.0,,,,,,,,,
17:18:02.240,,,,,,,,0.0,,,,,,,
17:18:02.241,,,,,,,,,,,,0.0,,,
17:18:02.412,,,,,,,,,,,,,41.568626,,
17:18:04.108,,,,,,,,,,,,,,0.0,
17:18:04.109,,,,1521.0,,,,,,,,,,,
17:18:04.113,,,,,,,,,,0.0,,,,,
17:18:04.114,,,,,,,,,,,32.156864,,,,
17:18:04.116,,,0.0,,,,,,,,,,,,
17:18:04.119,,0.0018553686,,,,,,,,,,,,,
17:18:04.121,,,,,,,,,0.0,,,,,,
17:18:04.261,,,,,23.0,,,,,,,,,,
17:18:04.263,,,,,,,6.96,,,,,,,,
17:18:04.414,3.508E7,,,,,,,,,,,,,,
17:18:04.751,,,,,,18.0,,,,,,,,,
17:18:05.388,,,,,,,,0.0,,,,,,,
17:18:05.390,,,,,,,,,,,,2.272653,,,
17:18:05.547,,,,,,,,,,,,,41.568626,,
17:18:06.630,,,,1381.0,,,,,,,,,,0.0,
17:18:06.637,,,,,,,,,,0.0,,,,,
17:18:06.645,,,,,,,,,,,32.156864,,,,
17:18:06.650,,0.0035184016,0.0,,,,,,,,,,,,
17:18:06.654,,,,,,,,,0.0,,,,,,
17:18:06.798,,,,,23.0,,,,,,,,,,
17:18:06.799,,,,,,,7.27,,,,,,,,
17:18:06.983,3.493E7,,,,,,,,,,,,,,
17:18:07.094,,,,,,18.0,,,,,,,,,
17:18:07.758,,,,,,,,0.0,,,,,,,
17:18:07.759,,,,,,,,,,,,2.3738775,,,
17:18:07.873,,,,,,,,,,,,,41.568626,,
17:18:08.804,,,,1439.0,,,,,,,,,,0.0,
17:18:08.807,,,,,,,,,,0.0,,,,,
17:18:08.808,,,,,,,,,,,43.92157,,,,
17:18:08.810,,,0.0,,,,,,,,,,,,
17:18:08.812,,0.0055919285,,,,,,,0.0,,,,,,
17:18:08.955,,,,,23.0,,,,,,,,,,
17:18:08.963,,,,,,,10.53,,,,,,,,
17:18:09.131,3.518E7,,,,,,,,,,,,,,
17:18:09.462,,,,,,18.0,,,,,,,,,
17:18:10.154,,,,,,,,0.0,,,,3.4383676,,,
17:18:10.263,,,,,,,,,,,,,41.568626,,
17:18:12.381,,,,,,,,,,,,,,0.0,
17:18:12.383,,,,1361.0,,,,,,,,,,,
17:18:12.389,,,,,,,,,,0.0,,,,,
17:18:12.395,,,0.0,,,,,,,,45.490196,,,,
17:18:12.399,,0.008932356,,,,,,,,,,,,,
17:18:12.400,,,,,,,,,0.0,,,,,,
17:18:12.544,,,,,23.0,,10.27,,,,,,,,
17:18:12.677,3.487E7,,,,,,,,,,,,,,
17:18:12.841,,,,,,18.0,,,,,,,,,
17:18:13.505,,,,,,,,0.0,,,,,,,
17:18:13.622,,,,,,,,,,,,3.3534696,,,
17:18:14.117,,,,,,,,,,,,,41.568626,,
17:18:15.125,,,,1407.0,,,,,,,,,,0.0,
17:18:15.126,,,,,,,,,,0.0,,,,,
17:18:15.127,,,,,,,,,,,45.098038,,,,
17:18:15.128,,0.01144661,0.0,,,,,,,,,,,,
17:18:15.129,,,,,,,,,0.0,,,,,,
17:18:15.464,,,,,24.0,,10.15,,,,,,,,
17:18:15.601,3.518E7,,,,,,,,,,,,,,
17:18:15.735,,,,,,18.0,,,,,,,,,
17:18:16.382,,,,,,,,0.0,,,,,,,
17:18:16.385,,,,,,,,,,,,3.3142858,,,
17:18:16.536,,,,,,,,,,,,,41.568626,,
17:18:17.773,,,,1384.0,,,,,,0.0,43.137257,,,0.0,
17:18:17.774,,0.013877811,0.0,,,,,,0.0,,,,,,
17:18:17.895,,,,,24.0,,,,,,,,,,
17:18:17.897,,,,,,,10.13,,,,,,,,
17:18:18.043,3.491E7,,,,,,,,,,,,,,
17:18:18.177,,,,,,18.0,,,,,,,,,
17:18:18.826,,,,,,,,0.0,,,,,,,
17:18:18.829,,,,,,,,,,,,3.3077552,,,
17:18:18.984,,,,,,,,,,,,,41.568626,,
17:18:20.662,,,,,,,,,,,,,,0.0,
17:18:20.663,,,,1397.0,,,,,,,,,,,
17:18:20.667,,,,,,,,,,0.0,,,,,
17:18:20.668,,,,,,,,,,,45.882355,,,,
17:18:20.669,,,0.0,,,,,,,,,,,,
17:18:20.672,,0.016445039,,,,,,,,,,,,,
17:18:20.673,,,,,,,,,0.0,,,,,,
17:18:20.804,,,,,24.0,,,,,,,,,,
17:18:20.808,,,,,,,9.77,,,,,,,,
17:18:20.948,3.508E7,,,,,,,,,,,,,,
17:18:21.086,,,,,,18.0,,,,,,,,,
17:18:21.730,,,,,,,,0.0,,,,,,,
17:18:21.731,,,,,,,,,,,,3.1902041,,,
17:18:21.859,,,,,,,,,,,,,41.568626,,
17:18:23.147,,,,,,,,,,,,,,0.0,
17:18:23.148,,,,1403.0,,,,,,,,,,,
17:18:23.152,,,,,,,,,,0.0,,,,,
17:18:23.155,,,,,,,,,,,44.705883,,,,
17:18:23.157,,,0.0,,,,,,,,,,,,
17:18:23.159,,0.01876624,,,,,,,,,,,,,
17:18:23.160,,,,,,,,,0.0,,,,,,
17:18:23.302,,,,,24.0,,,,,,,,,,
17:18:23.304,,,,,,,10.29,,,,,,,,
17:18:23.444,3.483E7,,,,,,,,,,,,,,
17:18:23.616,,,,,,18.0,,,,,,,,,
17:18:24.269,,,,,,,,0.0,,,,,,,
17:18:24.272,,,,,,,,,,,,3.36,,,
17:18:24.430,,,,,,,,,,,,,41.568626,,
17:18:25.994,,,,,,,,,,,,,,0.0,
17:18:26.003,,,,1402.0,,,,,,0.0,43.92157,,,,
17:18:26.004,,0.021365715,0.0,,,,,,0.0,,,,,,
17:18:26.137,,,,,24.0,,,,,,,,,,
17:18:26.138,,,,,,,10.07,,,,,,,,
17:18:26.296,3.53E7,,,,,,,,,,,,,,
17:18:26.419,,,,,,18.0,,,,,,,,,
17:18:27.080,,,,,,,,0.0,,,,,,,
17:18:27.086,,,,,,,,,,,,3.2881632,,,
17:18:27.257,,,,,,,,,,,,,41.568626,,
17:18:28.749,,,,1387.0,,,,,,,,,,0.0,
17:18:28.750,,,,,,,,,,0.0,53.72549,,,,
17:18:28.751,,0.023853248,0.0,,,,,,,,,,,,
17:18:28.752,,,,,,,,,0.0,,,,,,
17:18:28.897,,,,,24.0,,,,,,,,,,
17:18:28.898,,,,,,,9.98,,,,,,,,
17:18:29.061,3.513E7,,,,,,,,,,,,,,
17:18:29.201,,,,,,18.0,,,,,,,,,
17:18:29.826,,,,,,,,0.0,,,,,,,
17:18:29.827,,,,,,,,,,,,3.2587755,,,
17:18:29.972,,,,,,,,,,,,,41.568626,,
17:18:31.715,,,,,,,,,,,,,,0.0,
17:18:31.716,,,,1404.0,,,,,,,,,,,
17:18:31.719,,,,,,,,,,0.0,,,,,
17:18:31.720,,,,,,,,,,,27.843138,,,,
17:18:31.724,,,0.0,,,,,,,,,,,,
17:18:31.727,,0.02497541,,,,,,,,,,,,,
17:18:31.729,,,,,,,,,0.0,,,,,,
17:18:31.900,,,,,24.0,,,,,,,,,,
17:18:31.901,,,,,,,4.16,,,,,,,,
17:18:32.046,3.1829998E7,,,,,,,,,,,,,,
17:18:32.178,,,,,,18.0,,,,,,,,,
17:18:32.853,,,,,,,,0.0,,,,,,,
17:18:32.854,,,,,,,,,,,,1.3583673,,,
17:18:33.500,,,,,,,,,,,,,0.0,,
17:18:35.186,,,,,,,,,,,,,,0.0,
17:18:35.187,,,,805.0,,,,,,,,,,,
17:18:35.192,,,,,,,,,,0.0,,,,,
17:18:35.193,,,,,,,,,,,45.490196,,,,
17:18:35.195,,,0.0,,,,,,,,,,,,
17:18:35.197,,0.026032934,,,,,,,,,,,,,
17:18:35.200,,,,,,,,,0.0,,,,,,
17:18:35.354,,,,,25.0,,,,,,,,,,
17:18:35.355,,,,,,,3.36,,,,,,,,
17:18:35.712,3.489E7,,,,,,,,,,,,,,
17:18:35.832,,,,,,18.0,,,,,,,,,
17:18:36.472,,,,,,,,0.0,,,,,,,
17:18:36.475,,,,,,,,,,,,1.0971429,,,
17:18:36.613,,,,,,,,,,,,,41.17647,,
17:18:37.842,,,,790.0,,,,,,,,,,0.0,
17:18:37.846,,,,,,,,,,0.0,43.137257,,,,
17:18:37.851,,,0.0,,,,,,,,,,,,
17:18:37.863,,0.0268207,,,,,,,,,,,,,
17:18:37.866,,,,,,,,,0.0,,,,,,
17:18:37.986,,,,,25.0,,,,,,,,,,
17:18:37.991,,,,,,,3.27,,,,,,,,
17:18:38.146,3.49E7,,,,,,,,,,,,,,
17:18:38.287,,,,,,18.0,,,,,,,,,
17:18:38.915,,,,,,,,0.0,,,,,,,
17:18:38.916,,,,,,,,,,,,1.0677551,,,
17:18:39.056,,,,,,,,,,,,,41.17647,,
17:18:40.329,,,,1026.0,,,,,,,,,,0.0,
17:18:40.330,,,,,,,,,,0.0,45.882355,,,,
17:18:40.332,,,0.0,,,,,,,,,,,,
17:18:40.335,,0.02799135,,,,,,,,,,,,,
17:18:40.336,,,,,,,,,0.0,,,,,,
17:18:40.464,,,,,25.0,,,,,,,,,,
17:18:40.465,,,,,,,5.2,,,,,,,,
17:18:40.601,3.488E7,,,,,,,,,,,,,,
17:18:40.739,,,,,,18.0,,,,,,,,,
17:18:41.388,,,,,,,,0.0,,,,,,,
17:18:41.390,,,,,,,,,,,,1.6979592,,,
17:18:41.521,,,,,,,,,,,,,41.17647,,
17:18:42.600,,,,,,,,,,,,,,2.0,
17:18:42.601,,,,968.0,,,,,,,,,,,
17:18:42.605,,,,,,,,,,96.65307,,,,,
