time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
14:32:41.222,,,,1097.0,,,,,,,,,,0.0,
14:32:41.223,,,,,,,,,,0.0,,,,,
14:32:41.224,,,,,,,,,,,29.019608,,,,
14:32:41.225,,,0.0,,,,,,,,,,,,
14:32:41.226,,0.0024276164,,,,,,,0.0,,,,,,
14:32:41.354,,,,,36.0,,,,,,,,,,
14:32:41.355,,,,,,,4.15,,,,,,,,
14:32:41.488,3.1739998E7,,,,,,,,,,,,,,
14:32:41.626,,,,,,18.0,,,,,,,,,
14:32:42.299,,,,,,,,0.0,,,,,,,
14:32:42.300,,,,,,,,,,,,1.3551021,,,
14:32:42.474,,,,,,,,,,,,,30.588236,,
14:32:43.515,,,,,,,,,,,,,,0.0,
14:32:43.516,,,,1098.0,,,,,,0.0,,,,,
14:32:43.517,,,,,,,,,,,29.019608,,,,
14:32:43.519,,,0.0,,,,,,,,,,,,
14:32:43.524,,0.0033015213,,,,,,,,,,,,,
14:32:43.525,,,,,,,,,0.0,,,,,,
14:32:43.655,,,,,36.0,,,,,,,,,,
14:32:43.657,,,,,,,4.2,,,,,,,,
14:32:43.806,3.1489998E7,,,,,,,,,,,,,,
14:32:43.944,,,,,,18.0,,,,,,,,,
14:32:44.575,,,,,,,,0.0,,,,,,,
14:32:44.576,,,,,,,,,,,,1.3714285,,,
14:32:44.724,,,,,,,,,,,,,30.588236,,
14:32:46.254,,,,,,,,,,,,,,0.0,
14:32:46.255,,,,1086.0,,,,,,,,,,,
14:32:46.266,,,,,,,,,,0.0,,,,,
14:32:46.267,,,,,,,,,,,32.54902,,,,
14:32:46.271,,,0.0,,,,,,,,,,,,
14:32:46.278,,0.0046140165,,,,,,,,,,,,,
14:32:46.279,,,,,,,,,0.0,,,,,,
14:32:46.433,,,,,36.0,,,,,,,,,,
14:32:46.440,,,,,,,5.26,,,,,,,,
14:32:46.610,3.514E7,,,,,,,,,,,,,,
14:32:46.780,,,,,,18.0,,,,,,,,,
14:32:47.443,,,,,,,,0.0,,,,,,,
14:32:47.450,,,,,,,,,,,,1.7175511,,,
14:32:47.613,,,,,,,,,,,,,30.588236,,
14:32:48.781,,,,,,,,,,,,,,2.0,
14:32:48.784,,,,1103.0,,,,,,,,,,,
14:32:48.792,,,,,,,,,,71.83673,29.411764,,,,
14:32:48.798,,,0.0,,,,,,,,,,,,
14:32:48.803,,0.005621726,,,,,,,,,,,,,
14:32:48.805,,,,,,,,,0.36291766,,,,,,
14:32:48.940,,,,,36.0,,,,,,,,,,
14:32:48.943,,,,,,,4.4,,,,,,,,
