time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
16:09:40.533,,,,,,,,,,,,,,0.0,
16:09:40.712,,,,1492.0,,,,,,,,,,,
16:09:40.716,,,,,,,,,,0.0,,,,,
16:09:40.873,,,,,,,,,,,38.431374,,,,
16:09:40.878,,,0.0,,,,,,,,,,,,
16:09:40.882,,3.3281452E-4,,,,,,,,,,,,,
16:09:40.885,,,,,,,,,0.0,,,,,,
16:09:41.027,,,,,22.0,,,,,,,,,,
16:09:41.030,,,,,,,5.68,,,,,,,,
16:09:41.182,3.46E7,,,,,,,,,,,,,,
16:09:41.341,,,,,,18.0,,,,,,,,,
16:09:42.002,,,,,,,,0.0,,,,,,,
16:09:42.005,,,,,,,,,,,,1.8546939,,,
16:09:42.144,,,,,,,,,,,,,54.509804,,
16:09:42.453,,,,,,,,,,,,,,1.0,
16:09:42.594,,,,1218.0,,,,,,,,,,,
16:09:42.599,,,,,,,,,,179.91837,,,,,
16:09:42.731,,,,,,,,,,,85.09804,,,,
16:09:42.732,,,0.0,,,,,,,,,,,,
16:09:42.740,,0.0012583946,,,,,,,,,,,,,
16:09:42.743,,,,,,,,,0.7399121,,,,,,
16:09:42.942,,,,,21.0,,,,,,,,,,
16:09:42.943,,,,,,,5.51,,,,,,,,
16:09:43.153,3.523E7,,,,,,,,,,,,,,
16:09:43.501,,,,,,18.0,,,,,,,,,
16:09:44.194,,,,,,,,0.0,,,,,,,
16:09:44.196,,,,,,,,,,,,1.7991837,,,
16:09:44.544,,,,,,,,,,,,,54.117645,,
16:09:44.863,,,,,,,,,,,,,,0.0,
16:09:44.994,,,,1434.0,,,,,,,,,,,
16:09:44.999,,,,,,,,,,179.91837,,,,,
16:09:45.139,,,,,,,,,,,56.07843,,,,
16:09:45.142,,,0.0,,,,,,,,,,,,
16:09:45.143,,0.00386951,,,,,,,0.37734312,,,,,,
16:09:45.476,,,,,20.0,,,,,,,,,,
16:09:45.479,,,,,,,11.95,,,,,,,,
16:09:45.676,3.518E7,,,,,,,,,,,,,,
16:09:45.878,,,,,,18.0,,,,,,,,,
16:09:46.514,,,,,,,,0.0,,,,,,,
16:09:46.517,,,,,,,,,,,,3.9020407,,,
16:09:46.655,,,,,,,,,,,,,52.941177,,
16:09:47.194,,,,,,,,,,,,,,8.0,
16:09:47.341,,,,1707.0,,,,,,,,,,,
16:09:47.347,,,,,,,,,,77.95918,,,,,
16:09:47.518,,,,,,,,,,,65.882355,,,,
16:09:47.520,,,0.0,,,,,,,,,,,,
16:09:47.521,,0.007990953,,,,,,,,,,,,,
16:09:47.523,,,,,,,,,2.8659258,,,,,,
16:09:48.073,,,,,20.0,,19.1,,,,,,,,
16:09:48.211,3.504E7,,,,,,,,,,,,,,
16:09:48.362,,,,,,18.0,,,,,,,,,
16:09:49.032,,,,,,,,0.0,,,,,,,
16:09:49.036,,,,,,,,,,,,6.236735,,,
