time,Kraftstoffdruck,Kraftstoffverbrauch der Reise,Reisedistanz,Motor-Umdrehungen,Einlaß-Lufttemperatur,Umgebungstemperatur,Luftdurchfluß,Motoröltemperatur,Durchschnittliche Reisegeschwindigkeit,Kraftstoffverbrauch,Berechneter Lastwert,Zeit-Kraftstoffverbrauch.,Kraftstofftank-Inhalt,Geschwindigkeit,
07:19:16.101,,,,,,,,,,,,,,0.0,
07:19:16.102,,,,1406.0,,,,,,,,,,,
07:19:16.103,,,,,,,,,,0.0,,,,,
07:19:16.113,,,,,,,,,,,41.568626,,,,
07:19:16.115,,,0.0,,,,,,,,,,,,
07:19:16.117,,0.007441221,,,,,,,,,,,,,
07:19:16.119,,,,,,,,,0.0,,,,,,
07:19:16.549,,,,,21.0,,,,,,,,,,
07:19:16.553,,,,,,,9.73,,,,,,,,
07:19:16.750,3.519E7,,,,,,,,,,,,,,
07:19:17.138,,,,,,20.0,,,,,,,,,
07:19:17.789,,,,,,,,0.0,,,,,,,
07:19:17.799,,,,,,,,,,,,3.1771429,,,
07:19:17.961,,,,,,,,,,,,,44.313725,,
07:19:19.619,,,,1404.0,,,,,,,,,,0.0,
07:19:19.620,,,,,,,,,,0.0,37.64706,,,,
07:19:19.624,,,0.0,,,,,,,,,,,,
07:19:19.626,,0.0100305155,,,,,,,,,,,,,
07:19:19.630,,,,,,,,,0.0,,,,,,
07:19:19.825,,,,,22.0,,,,,,,,,,
07:19:19.826,,,,,,,8.14,,,,,,,,
07:19:20.019,3.52E7,,,,,,,,,,,,,,
07:19:20.364,,,,,,20.0,,,,,,,,,
07:19:21.070,,,,,,,,0.0,,,,,,,
07:19:21.071,,,,,,,,,,,,2.6579592,,,
07:19:21.243,,,,,,,,,,,,,44.313725,,
07:19:23.602,,,,979.0,,,,,,,,,,0.0,
07:19:23.603,,,,,,,,,,0.0,,,,,
07:19:23.606,,,,,,,,,,,34.901962,,,,
07:19:23.608,,,0.0,,,,,,,,,,,,
07:19:23.610,,0.011363601,,,,,,,0.0,,,,,,
07:19:24.231,,,,,0.0,,,,,,,,,,
07:19:24.232,,,,,,,3.69,,,,,,,,
07:19:24.370,3.481E7,,,,,,,,,,,,,,
07:19:24.748,,,,,,20.0,,,,,,,,,
07:19:25.382,,,,,,,,0.0,,,,,,,
07:19:25.383,,,,,,,,,,,,1.204898,,,
07:19:25.568,,,,,,,,,,,,,44.313725,,
07:19:27.699,,,,791.0,,,,,,,,,,0.0,
07:19:27.701,,,,,,,,,,0.0,,,,,
07:19:27.702,,,0.0,,,,,,,,0.0,,,,
07:19:27.703,,0.012645029,,,,,,,0.0,,,,,,
07:19:27.838,,,,,22.0,,,,,,,,,,
07:19:27.840,,,,,,,3.45,,,,,,,,
07:19:28.047,3.526E7,,,,,,,,,,,,,,
07:19:28.310,,,,,,20.0,,,,,,,,,
07:19:28.953,,,,,,,,0.0,,,,,,,
07:19:28.954,,,,,,,,,,,,1.1265306,,,
07:19:29.477,,,,,,,,,,,,,44.313725,,
07:19:30.910,,,,,,,,,,,,,,0.0,
07:19:30.911,,,,800.0,,,,,,,,,,,
07:19:30.915,,,,,,,,,,0.0,,,,,
07:19:30.916,,,,,,,,,,,40.39216,,,,
07:19:30.918,,0.014129786,0.0,,,,,,,,,,,,
07:19:30.920,,,,,,,,,0.0,,,,,,
07:19:31.039,,,,,22.0,,5.09,,,,,,,,
07:19:31.204,3.496E7,,,,,,,,,,,,,,
07:19:31.371,,,,,,20.0,,,,,,,,,
07:19:32.010,,,,,,,,0.0,,,,,,,
07:19:32.011,,,,,,,,,,,,1.6620408,,,
07:19:32.128,,,,,,,,,,,,,44.313725,,
07:19:33.443,,,,896.0,,,,,,,,,,0.0,
07:19:33.448,,,,,,,,,,0.0,,,,,
07:19:33.449,,,,,,,,,,,37.64706,,,,
07:19:33.451,,,0.0,,,,,,,,,,,,
07:19:33.454,,0.015067538,,,,,,,,,,,,,
07:19:33.455,,,,,,,,,0.0,,,,,,
07:19:33.599,,,,,23.0,,,,,,,,,,
07:19:33.600,,,,,,,4.08,,,,,,,,
07:19:33.763,3.529E7,,,,,,,,,,,,,,
07:19:33.939,,,,,,20.0,,,,,,,,,
07:19:34.578,,,,,,,,0.0,,,,,,,
07:19:34.588,,,,,,,,,,,,1.332245,,,
07:19:34.720,,,,,,,,,,,,,43.92157,,
07:19:35.806,,,,1027.0,,,,,,,,,,0.0,
07:19:35.811,,,,,,,,,,0.0,,,,,
07:19:35.816,,,,,,,,,,,45.098038,,,,
07:19:35.817,,0.01628974,0.0,,,,,,,,,,,,
07:19:35.821,,,,,,,,,0.0,,,,,,
07:19:35.975,,,,,23.0,,,,,,,,,,
07:19:35.978,,,,,,,5.7,,,,,,,,
07:19:36.111,3.524E7,,,,,,,,,,,,,,
07:19:36.301,,,,,,20.0,,,,,,,,,
07:19:36.950,,,,,,,,0.0,,,,,,,
07:19:36.954,,,,,,,,,,,,1.8612244,,,
07:19:37.148,,,,,,,,,,,,,43.52941,,
07:19:38.455,,,,,,,,,,,,,,3.0,
07:19:38.456,,,,1083.0,,,,,,,,,,,
07:19:38.460,,,,,,,,,,208.21768,,,,,
07:19:38.461,,,,,,,,,,,54.117645,,,,
07:19:38.464,,,0.0,,,,,,,,,,,,
07:19:38.467,,0.020886144,,,,,,,,,,,,,
07:19:38.469,,,,,,,,,0.25806972,,,,,,
07:19:38.587,,,,,22.0,,,,,,,,,,
07:19:38.590,,,,,,,19.13,,,,,,,,
07:19:38.737,3.53E7,,,,,,,,,,,,,,
07:19:38.875,,,,,,20.0,,,,,,,,,
07:19:39.522,,,,,,,,0.0,,,,,,,
07:19:39.527,,,,,,,,,,,,6.2465305,,,
07:19:39.647,,,,,,,,,,,,,40.39216,,
07:19:41.141,,,,,,,,,,,,,,7.0,
07:19:41.148,,,,870.0,,,,,,,,,,,
07:19:41.155,,,,,,,,,,23.183672,,,,,
07:19:41.158,,,,,,,,,,,40.0,,,,
07:19:41.160,,,0.0,,,,,,,,,,,,
07:19:41.167,,0.022101484,,,,,,,,,,,,,
07:19:41.168,,,,,,,,,0.8004361,,,,,,
07:19:41.319,,,,,22.0,,,,,,,,,,
07:19:41.322,,,,,,,4.97,,,,,,,,
07:19:41.534,3.591E7,,,,,,,,,,,,,,
07:19:41.676,,,,,,19.0,,,,,,,,,
07:19:42.352,,,,,,,,0.0,,,,,,,
07:19:42.354,,,,,,,,,,,,1.6228571,,,
07:19:42.554,,,,,,,,,,,,,35.686275,,
07:19:43.964,,,,,,,,,,,,,,3.0,
07:19:43.965,,,,1349.0,,,,,,,,,,,
07:19:43.968,,,,,,,,,,116.462585,65.882355,,,,
07:19:43.975,,,0.0,,,,,,,,,,,,
07:19:43.976,,0.024830591,,,,,,,,,,,,,
07:19:43.978,,,,,,,,,0.9707709,,,,,,
07:19:44.356,,,,,22.0,,,,,,,,,,
07:19:44.360,,,,,,,10.7,,,,,,,,
07:19:44.508,3.489E7,,,,,,,,,,,,,,
07:19:44.644,,,,,,19.0,,,,,,,,,
07:19:45.277,,,,,,,,0.0,,,,,,,
07:19:45.280,,,,,,,,,,,,3.4938776,,,
07:19:45.423,,,,,,,,,,,,,33.72549,,
07:19:46.509,,,,,,,,,,,,,,8.0,
07:19:46.510,,,,837.0,,,,,,,,,,,
07:19:46.511,,,,,,,,,,14.734693,46.666668,,,,
07:19:46.515,,,0.0,,,,,,,,,,,,
07:19:46.519,,0.025663264,,,,,,,,,,,,,
07:19:46.520,,,,,,,,,1.4311461,,,,,,
07:19:46.675,,,,,22.0,,,,,,,,,,
07:19:46.677,,,,,,,3.61,,,,,,,,
07:19:47.321,0.0,,,,,,,,,,,,,,
07:19:47.464,,,,,,19.0,,,,,,,,,
07:19:48.112,,,,,,,,0.0,,,,,,,
07:19:48.115,,,,,,,,,,,,1.1787754,,,
07:19:48.288,,,,,,,,,,,,,36.47059,,
07:19:50.884,,,,808.0,,,,,,,,,,4.0,
07:19:50.897,,,,,,,,,,26.612246,,,,,
07:19:50.898,,,,,,,,,,,41.17647,,,,
07:19:50.904,,,0.0,,,,,,,,,,,,
07:19:50.908,,0.026960168,,,,,,,,,,,,,
